Designator,Mid X ,Mid Y,Layer ,Rotation 
BT1,141.125000,-83.500000,top,180.000000
BT2,119.925000,-103.782786,top,90.000000
C1,103.940000,-54.303547,top,90.000000
C2,102.300000,-54.303547,top,90.000000
C3,107.150000,-54.303547,top,90.000000
C4,105.550000,-54.303547,top,90.000000
C5,101.225000,-57.900000,top,90.000000
C6,146.700000,-55.476189,top,0.000000
C7,139.196555,-65.723562,top,90.000000
C8,146.700000,-60.376189,top,0.000000
C9,146.700000,-58.742856,top,0.000000
C10,139.200000,-55.726189,top,90.000000
C11,139.196121,-61.874438,top,-90.000000
C12,83.250000,-72.687500,top,-90.000000
C13,92.210000,-72.687500,top,90.000000
C14,93.850000,-72.687500,top,90.000000
C15,88.300000,-72.687500,top,-90.000000
C16,86.700000,-72.687500,top,-90.000000
C17,141.925000,-86.700000,top,90.000000
C18,140.325000,-86.700000,top,90.000000
C19,119.850000,-86.317500,top,180.000000
C20,119.850000,-88.080000,top,180.000000
C21,119.937500,-94.245000,top,0.000000
C22,122.750000,-89.875000,top,-90.000000
C23,124.450000,-89.875000,top,-90.000000
C24,122.750000,-93.495000,top,-90.000000
C25,120.025000,-81.400000,top,-90.000000
C26,124.450000,-93.495000,top,-90.000000
C27,138.725000,-85.350000,top,-90.000000
C28,143.800000,-92.700000,top,0.000000
C29,87.500000,-92.200000,top,-90.000000
C30,85.000000,-99.300000,top,0.000000
C31,85.800000,-92.200000,top,-90.000000
C32,87.500000,-89.000000,top,90.000000
C33,85.800000,-89.000000,top,90.000000
C34,89.200000,-92.200000,top,-90.000000
C35,112.017000,-111.558000,top,-90.000000
C36,113.667000,-111.558000,top,-90.000000
C37,92.100000,-104.600000,top,180.000000
C38,93.000000,-95.200000,top,180.000000
C39,94.600000,-109.100000,top,90.000000
C41,96.200000,-109.100000,top,90.000000
C43,100.500000,-111.790000,top,0.000000
C44,100.500000,-113.400000,top,0.000000
C45,96.200000,-100.250000,top,90.000000
C46,96.400000,-92.400000,top,-90.000000
C47,131.225000,-99.082786,top,180.000000
C48,98.200000,-88.700000,top,90.000000
C49,131.225000,-97.282786,top,180.000000
C50,100.550000,-87.900000,top,90.000000
C51,131.225000,-100.732786,top,180.000000
C52,103.200000,-87.900000,top,90.000000
C53,134.800000,-97.282786,top,0.000000
C54,103.200000,-93.200000,top,-90.000000
C55,138.975000,-103.757786,top,-90.000000
C56,138.975000,-106.907786,top,90.000000
C57,126.720000,-100.639661,top,180.000000
C58,100.550000,-93.200000,top,-90.000000
C59,101.125000,-84.400000,top,180.000000
C60,101.125000,-82.700000,top,180.000000
C61,104.500000,-82.100000,top,0.000000
C62,126.720000,-105.482786,top,180.000000
C63,137.325000,-103.757786,top,-90.000000
C64,137.325000,-106.907786,top,90.000000
C65,138.125000,-100.732786,top,0.000000
C66,138.125000,-110.182786,top,0.000000
C67,134.800000,-100.732786,top,180.000000
C68,138.125000,-113.482786,top,0.000000
C69,130.975000,-113.482786,top,180.000000
C70,138.125000,-97.282786,top,0.000000
C71,138.125000,-111.832786,top,0.000000
C72,130.975000,-111.832786,top,180.000000
C73,138.125000,-99.082786,top,0.000000
C74,134.800000,-110.182786,top,180.000000
C75,130.975000,-110.182786,top,180.000000
C76,134.800000,-99.082786,top,180.000000
C77,134.800000,-111.832786,top,180.000000
C78,90.862500,-101.770000,top,90.000000
C79,134.800000,-113.482786,top,180.000000
C80,97.800000,-100.250000,top,90.000000
C81,108.717000,-111.558000,top,-90.000000
C82,97.825000,-104.175000,top,90.000000
C83,110.367000,-111.558000,top,-90.000000
C84,113.667000,-104.850000,top,90.000000
C85,113.667000,-108.326000,top,-90.000000
C86,107.779500,-103.734000,top,180.000000
C87,106.229500,-102.175000,top,180.000000
D1,133.450000,-54.525000,top,90.000000
D2,133.450000,-58.075000,top,-90.000000
D3,133.450000,-61.725000,top,-90.000000
D4,133.450000,-65.975000,top,-90.000000
D5,130.597500,-66.700000,top,0.000000
D6,101.550000,-68.400000,top,180.000000
D7,130.595000,-63.090000,top,0.000000
D8,96.862500,-64.087500,top,180.000000
D9,96.862500,-67.637500,top,180.000000
D10,96.862500,-55.475000,top,180.000000
D11,96.862500,-59.137500,top,180.000000
D12,127.925000,-80.993802,top,90.000000
D14,92.900000,-112.600000,top,0.000000
D15,87.050000,-81.325000,top,0.000000
D16,96.200000,-105.620000,top,-90.000000
D17,105.454500,-108.346000,top,-90.000000
D18,126.700000,-97.382786,top,180.000000
D19,98.300000,-83.800000,top,-90.000000
D20,109.800000,-84.300000,top,90.000000
D21,109.800000,-92.100000,top,-90.000000
D22,106.187500,-94.900000,top,0.000000
D23,122.100000,-109.925000,top,90.000000
D24,105.454500,-111.538000,top,90.000000
D25,106.180000,-99.075000,top,90.000000
D26,108.575000,-99.075000,top,90.000000
D27,110.975000,-99.075000,top,90.000000
D28,136.050000,-81.550000,top,180.000000
DWM1,81.798800,-62.837500,top,90.000000
F1,90.400000,-108.100000,top,90.000000
F2,105.300000,-84.200000,top,0.000000
F3,119.025000,-108.725000,top,90.000000
