pair,module_a,module_b,samples,known_m,median_m,mean_m,std_cm,robust_sigma_cm,raw_error_cm,raw_error_dtu,fit_residual_cm,rounded_residual_cm
M1-M2,1,2,293,2.1213203435596424,2.221,2.2220716723549487,1.3596513164807085,1.4826000000000343,9.96796564403577,21.252040995712324,1.7916666666666752,1.9943589686676804
M1-M3,1,3,293,2.1213203435596424,2.209,2.208641638225256,1.607187057991007,1.7791200000000014,8.767965644035769,18.693600276154474,1.1749999999999867,1.2633946554540376
M1-M4,1,4,293,2.1213203435596424,2.193,2.192692832764505,1.8529595822008151,1.9273799999999852,7.1679656440357675,15.282345983410673,-0.17499999999998944,0.1324303422403948
M1-M5,1,5,292,2.1213203435596424,2.211,2.212277397260274,1.7385883387707166,1.630859999999952,8.967965644035747,19.1200070627474,-2.7916666666666745,-2.7579265256232084
M2-M3,2,3,49,3.0,3.071,3.0737755102040816,1.4457912608139214,1.630860000000018,7.100000000000017,15.137440924050642,-0.7536437626905108,-0.8736066753680718
M2-M4,2,4,48,3.0,3.0854999999999997,3.0869375,0.8050378484891235,0.815429999999943,8.549999999999969,18.228890126849606,0.9463562373094642,1.045429011418238
M2-M5,2,5,48,4.242640687119285,4.343,4.3453333333333335,1.2334459408052318,1.0378199999999516,10.03593128807152,21.396946055072355,-1.984379141285649,-2.1589965683737935
M3-M4,3,4,49,4.242640687119285,4.283,4.287387755102041,1.6743949655397148,2.372160000000002,4.035931288071559,8.604742457283196,-2.984379141285632,-2.9996040137238134
M3-M5,3,5,49,3.0,3.14,3.141877551020408,1.1596327098084265,1.186080000000001,14.000000000000012,29.84847506150826,2.563022903976157,2.274107830341057
M4-M5,4,5,49,3.0,3.134,3.135673469387755,1.588271779948384,1.630860000000018,13.39999999999999,28.56925470172929,2.2130229039761584,2.143143517127393
