mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785525276.8384652,,206.04181289672852,3,1.5224426666666668,1.5049548333333334,2.298311685721129
rolling,1785525276.9446194,,312.1960163116455,4,1.5173578888888886,1.5074972222222225,1.8907793306686733
rolling,1785525277.0385644,,306.0729503631592,4,1.5187732222222219,1.5046665555555556,1.9344524118158415
coherent,1785525277.1422207,46,303.755521774292,4,1.516680722222222,1.5025740555555558,1.6878159137122162
rolling,1785525277.1422207,,303.755521774292,4,1.516680722222222,1.5025740555555558,1.6878159137122162
rolling,1785525277.2488174,,304.1980266571045,4,1.5261784999999999,1.5120718333333334,2.8827816814281535
rolling,1785525277.3501644,,311.5999698638916,4,1.5039370555555558,1.5231925555555554,2.3524349930339374
rolling,1785525277.4530144,,310.7936382293701,4,1.5053563888888892,1.5203538888888888,2.104689275950838
coherent,1785525277.5499008,47,301.0833263397217,4,1.4973701666666663,1.5123676666666668,1.2644176609763615
rolling,1785525277.5499008,,301.0833263397217,4,1.4973701666666663,1.5123676666666668,1.2644176609763615
rolling,1785525277.6585376,,308.37321281433105,4,1.4954634999999998,1.510461,1.140229596397158
rolling,1785525277.7597713,,306.75697326660156,4,1.490667944444444,1.512858777777778,1.588821660320194
rolling,1785525277.8585424,,308.6416721343994,4,1.4951888888888887,1.5038168888888888,0.6141289027035064
coherent,1785525277.9637532,48,305.21559715270996,4,1.5008395555555554,1.5094675555555555,0.9504707345752039
rolling,1785525277.9637532,,305.21559715270996,4,1.5008395555555554,1.5094675555555555,0.9504707345752039
rolling,1785525278.0743592,,314.5878314971924,4,1.5027462222222223,1.5113742222222217,1.170105412577475
rolling,1785525278.1694055,,310.8630180358887,4,1.5132671111111111,1.5061137777777773,1.460802916038341
rolling,1785525278.2699592,,306.20598793029785,4,1.4995919999999996,1.5334640000000002,3.346648711771241
coherent,1785525278.3735363,49,299.1771697998047,4,1.4901386666666663,1.5240106666666668,2.595684897842774
rolling,1785525278.3735363,,299.1771697998047,4,1.4901386666666663,1.5240106666666668,2.595684897842774
rolling,1785525278.4799182,,310.5127811431885,4,1.4863288888888884,1.5202008888888896,2.4392113293309032
rolling,1785525278.5788548,,308.8955879211426,4,1.4887049999999995,1.519012833333334,2.211481079189114
rolling,1785525278.6785607,,305.0243854522705,4,1.5011864999999998,1.4940498333333334,0.6067311234073098
coherent,1785525278.776925,50,297.00684547424316,4,1.5120424999999995,1.5049058333333334,1.3003422893393617
rolling,1785525278.776925,,297.00684547424316,4,1.5120424999999995,1.5049058333333334,1.3003422893393617
rolling,1785525278.8884664,,309.61155891418457,4,1.5139456111111114,1.5068089444444444,1.551907837823762
rolling,1785525278.988467,,309.9062442779541,4,1.5238646111111112,1.5018494444444443,2.3936167367347183
rolling,1785525279.0885644,,311.63930892944336,4,1.509063111111111,1.5314524444444444,3.273218973034351
coherent,1785525279.188599,51,300.13275146484375,4,1.5132471111111112,1.535636444444444,3.8018970599321382
rolling,1785525279.188599,,300.13275146484375,4,1.5132471111111112,1.535636444444444,3.8018970599321382
rolling,1785525279.2987404,,310.2734088897705,4,1.521375,1.5437643333333333,4.870531282222817
rolling,1785525279.3987164,,310.1520538330078,4,1.4985590000000002,1.5551723333333332,5.519114826169523
rolling,1785525279.500618,,312.01887130737305,4,1.509796333333333,1.5326976666666672,3.4133642527896884
coherent,1785525279.5986512,52,299.9107837677002,4,1.5091014999999997,1.5320028333333338,3.3271889691015923
rolling,1785525279.5986512,,299.9107837677002,4,1.5091014999999997,1.5320028333333338,3.3271889691015923
rolling,1785525279.7086923,,309.97586250305176,4,1.5033575000000003,1.5262588333333336,2.6472611021162837
rolling,1785525279.8087296,,308.11166763305664,4,1.5129263888888886,1.5214743888888893,2.5064734346448523
rolling,1785525279.9107661,,312.114953994751,4,1.5070416666666666,1.5332438333333336,3.3981429106776906
coherent,1785525280.0085478,53,299.85547065734863,4,1.503785888888889,1.5299880555555554,3.02260885772885
rolling,1785525280.0085478,,299.85547065734863,4,1.503785888888889,1.5299880555555554,3.02260885772885
rolling,1785525280.120412,,311.68246269226074,4,1.5014020000000001,1.5276041666666664,2.7639747129109167
rolling,1785525280.2234259,,312.65974044799805,4,1.494233666666667,1.531188333333333,3.1716915616468673
rolling,1785525280.3161817,,307.6338768005371,4,1.4963441666666666,1.5269673333333333,2.721400713735894
coherent,1785525280.4186745,54,298.262357711792,4,1.4951761111111115,1.5257992777777776,2.624638332927548
rolling,1785525280.4186745,,298.262357711792,4,1.4951761111111115,1.5257992777777776,2.624638332927548
rolling,1785525280.5287192,,305.29332160949707,4,1.502824111111111,1.5334472777777777,3.3566292531522155
rolling,1785525280.631219,,315.0372505187988,4,1.5056974444444442,1.532010611111111,3.2513690914817808
rolling,1785525280.73325,,314.5754337310791,4,1.5073451666666666,1.528715166666666,2.9639707658064385
coherent,1785525280.8286226,55,299.90339279174805,4,1.515923,1.5372929999999994,4.055008974096048
rolling,1785525280.8286226,,299.90339279174805,4,1.515923,1.5372929999999994,4.055008974096048
rolling,1785525280.9425216,,311.30266189575195,4,1.5144846666666663,1.5358546666666673,3.866991970798818
rolling,1785525281.0387754,,305.525541305542,4,1.5187796666666673,1.5337071666666668,3.858560566850793
rolling,1785525281.139116,,310.49346923828125,4,1.509900333333334,1.5514658333333333,5.240943236484792
coherent,1785525281.2388203,56,296.2987422943115,4,1.5071350000000001,1.5487005,4.9220391356123985
