block,baseline,phase,comparison_eligible,study_note,profile,slot_ms,gap_ms,timeout_ms,resp_ms,final_ms,auto_rx_uus,frame_ms,theoretical_position_hz,duration_s,ranges,range_rate_hz,candidate_frames,complete_frames,complete_frame_pct,position_rate_hz,pos_n,pos_mean_x_m,pos_mean_y_m,pos_bias_x_cm,pos_bias_y_cm,pos_mean_error_cm,pos_rmse_2d_cm,pos_median_error_cm,pos_p95_error_cm,pos_p99_error_cm,pos_max_error_cm,pos_outliers_gt_50cm,pos_outliers_gt_50cm_pct,pos_rmse_within_50cm_cm,pos_std_x_cm,pos_std_y_cm,pos_cep50_precision_cm,pos_cep95_precision_cm,pos_two_drms_cm,a2_n,a2_bias_cm,a2_std_cm,a3_n,a3_bias_cm,a3_std_cm,a4_n,a4_bias_cm,a4_std_cm,a5_n,a5_bias_cm,a5_std_cm,timing_windows,timing_attempts,timing_ok,timing_fail,timing_success_pct,timing_overruns,timing_max_us,timing_healthy_window_max_us,timing_healthy_window_p50_us,timing_healthy_window_p95_us,timing_healthy_window_p99_us,resp_timeout_logs,resp_tx_failure_logs,final_failure_logs,timestamp_mismatch_logs
ds_1,1,baseline,1,,s15_g04_t08_r02_f02,15,4,8,2,2,500,64,15.625,120.00192904472351,7426,61.88233855167782,1868,1825,97.69807280513919,15.208088857636954,1825,1.5265246347945207,1.490143127762557,2.652463479452056,-0.9856872237442967,3.113872559248648,3.275000823564357,3.044950465474135,4.844664515674973,5.545842032228228,6.366050670474086,0,0.0,3.275000823564357,1.2415487685553397,1.0856038118060776,1.3818623068447882,2.82967479395607,3.298471755773674,1848,2.443290319360434,1.8390039330369559,1861,8.03088880362738,0.8390412148526496,1851,3.014643115672711,1.5405241414901043,1866,-4.254703166253625,1.5321174801001036,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,0
ds_2,1,baseline,1,,s15_g04_t08_r02_f02,15,4,8,2,2,500,64,15.625,120.00826287269592,7400,61.66242076055944,1868,1801,96.41327623126338,15.00729997159021,1801,1.52639053945339,1.48959220167808,2.6390539453390085,-1.0407798321919954,3.0990519880983203,3.264926475733037,3.0529698216816517,4.833567297073616,5.515929412314471,6.7872096689492425,0,0.0,3.264926475733037,1.195634405168076,1.0880376557544973,1.3423042181356986,2.77901495657698,3.233182686555995,1863,2.4136983332467077,1.7331052786903305,1831,8.08964778494237,1.0582977410664998,1864,3.019628734164513,1.5245873308799525,1842,-4.220145105149904,1.5921810623344554,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,0
ds_3,1,baseline,1,,s15_g04_t08_r02_f02,15,4,8,2,2,500,64,15.625,120.0120620727539,7430,61.91044359770915,1868,1829,97.91220556745182,15.24013476988022,1829,1.5261206608347,1.490555376161837,2.612066083470021,-0.9444623838162984,3.046362031664635,3.204502828987457,3.0124600045549585,4.730795670457677,5.4303442984750845,6.0778620470113145,0,0.0,3.204502828987457,1.1832409286802004,1.074838587576679,1.3287022732812843,2.7205983813964187,3.1970843496209564,1850,2.48385753592765,1.7341529694832387,1863,7.952936121759863,0.854846288459985,1856,3.047599264725413,1.5274787906842882,1861,-4.156859718672458,1.5581373406004986,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,0
s03_g01_t03_r01_f01_run1,0,screening,1,,s03_g01_t03_r01_f01,3,1,3,1,1,500,13,76.92307692307692,60.07768249511719,18106,301.3764720613443,4542,4481,98.65697930427125,74.58676523289981,4481,1.5307618808177736,1.4924962663343997,3.0761880817773823,-0.7503733665600484,3.377231498390467,3.5058150347023633,3.408551360734561,4.861628265189434,5.620016129291074,8.120564677214338,0,0.0,3.5058150347023633,1.0591769124007981,1.069296752859626,1.2040668150151235,2.659395806430241,3.0101503467029866,4522,3.140455692686798,1.6180453418149425,4527,7.979143024199225,1.2485373169642757,4527,2.7037067529378995,1.1122978934402326,4530,-4.07545598951832,1.55538856812496,60,18220,18161,59,99.6761800219539,59,18514,2828,2623.0,2719.0,2807.1,57,0,7,0
s03_g01_t03_r01_f01_validation1,0,validation,1,,s03_g01_t03_r01_f01,3,1,3,1,1,500,13,76.92307692307692,120.08588695526123,36208,301.51752981172154,9085,8958,98.60209135938359,74.5966093695703,8958,1.5310057409205922,1.4926735918731857,3.1005740920592406,-0.7326408126814071,3.3969096382736335,3.5204408652263846,3.416885195363544,4.887073315866367,5.494915358271971,6.8608830275112265,0,0.0,3.5204408652263846,1.0379339864652188,1.0798727255955838,1.2414356207819013,2.5934595678819927,2.995618175765941,9053,3.1980109328902815,1.6052714917557962,9055,7.992349962092087,1.2733082455040534,9043,2.7056633107392845,1.0964541826010468,9057,-4.051003109414607,1.5201801101037904,119,36148,36021,127,99.64866659289588,135,34380,4696,2616.0,3534.2500000000005,4514.240000000002,122,2,9,0
s03_g01_t03_r01_f01_validation2,0,validation,1,,s03_g01_t03_r01_f01,3,1,3,1,1,500,13,76.92307692307692,120.06405019760132,36220,301.6723152383178,9083,8976,98.82197511835297,74.76009667529378,8976,1.529859215890523,1.4930679476567141,2.985921589052289,-0.6932052343285849,3.281467890103789,3.410022814524948,3.3063187990674425,4.7620421823408865,5.508689303843252,7.201319738581506,0,0.0,3.410022814524948,1.047294681753066,1.0655594316897545,1.2156712215225722,2.6449021358853386,2.988138586405422,9042,3.130042618156528,1.5936241380644773,9056,7.937941350749544,1.1959671971596884,9070,2.8623427112904425,1.1283598084669393,9052,-4.079427197325262,1.5436022217988057,120,36456,36349,107,99.70649550142637,113,20781,5882,2624.0,3390.199999999999,4966.719999999991,107,4,2,0
s04_g01_t04_r01_f01_run1,0,screening,1,,s04_g01_t04_r01_f01,4,1,4,1,1,500,17,58.8235294117647,60.04503059387207,13934,232.05917062888534,3487,3477,99.71322053340981,57.906540568152316,3477,1.5290306519189598,1.4914651281436742,2.9030651918959522,-0.8534871856325745,3.2449855402803927,3.362194520081231,3.243367948299352,4.671624449048544,5.359187200545882,6.428557321319291,0,0.0,3.362194520081231,1.0285705385439228,1.0444064060696008,1.1668423506627197,2.6167319519038643,2.931717649296914,3484,2.8648657588463204,1.6143917877813667,3483,7.951657863386898,1.1523262337601365,3485,2.769285586646948,1.036857214912982,3482,-4.062045843615011,1.5312444313792128,60,14132,14121,11,99.92216246815737,9,19141,2835,2629.0,2709.1,2810.52,10,0,6,0
s04_g01_t04_r01_f01_validation1,0,validation,1,,s04_g01_t04_r01_f01,4,1,4,1,1,500,17,58.8235294117647,120.04223299026489,27888,232.31823755112623,6976,6964,99.82798165137615,58.01291617563264,6964,1.5287805225604696,1.4915915833253557,2.8780522560469723,-0.8408416674644249,3.219861591048841,3.334004421540665,3.229286194825816,4.649529847649952,5.2795821529278895,6.978530990135182,0,0.0,3.334004421540665,1.0241025315487313,1.0377404441512885,1.181280307854968,2.580072620240474,2.9159500849992845,6971,2.911675298317783,1.6199186824596974,6971,7.887632836691048,1.0499992230568267,6973,2.7557757688027156,1.0366839884927832,6973,-3.8931271424263043,1.5909379449250343,118,27828,27816,12,99.95687796463993,10,15527,3645,2630.0,2748.3,3341.719999999998,11,0,7,0
s04_g01_t04_r01_f01_validation2,0,validation,1,,s04_g01_t04_r01_f01,4,1,4,1,1,500,17,58.8235294117647,120.04521751403809,27888,232.31246173333625,6975,6966,99.87096774193549,58.0281342668682,6966,1.52905603159792,1.4911775905748557,2.905603159792007,-0.8822409425144399,3.2526642358814266,3.36076185403308,3.2433375381075207,4.6523681861281725,5.270768297641343,7.699133538785718,0,0.0,3.36076185403308,1.0081455104958104,1.028485205615732,1.1488060170561454,2.571350980735109,2.880374412123044,6972,2.724491748453429,1.6202860214523458,6972,7.683040228086252,23.906066852818483,6972,2.7430660456421827,1.015665379263077,6972,-4.284845600944156,1.5052985793129918,118,27812,27805,7,99.9748310081979,8,19671,4110,2632.5,2717.5499999999997,3622.8100000000004,6,0,3,0
s05_g01_t05_r02_f02_run1,0,screening,0,Exploratory run retained as evidence of snapshot-collector saturation at approximately 190 ranges/s; radio timing remained 99.982% successful. Repeated with lossless log-cursor collection.,s05_g01_t05_r02_f02,5,1,5,2,2,500,21,47.61904761904762,60.031906604766846,11033,183.78560042475684,2829,2619,92.57688229056204,43.626800282102614,2619,1.5312681373721948,1.4929252656017988,3.1268137372194666,-0.7074734398201221,3.4628048920486543,3.6067595228739777,3.519626514509132,5.02716941222553,5.687571736417809,7.295802949493605,0,0.0,3.6067595228739777,1.0889083392300156,1.2436049695966023,1.394363298415956,2.824900441532052,3.305918747731128,2754,2.8946177863741753,1.5995667471840072,2749,7.761708823373705,1.6637841575626806,2770,2.477279723458139,1.1089575362350863,2760,-4.546019863210614,1.8295409437973555,59,11324,11322,2,99.98233839632638,2,7077,4692,4624.0,4659.2,4679.68,2,1,0,0
