capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
flextdoa_dynamic_final_01,flextdoa,dynamic,0,1786447729.7404773,1786447729.7404773,99,False,False,,"2,3,4,5",0.07802586613546969,-1.6895083499289265,-4.071676458337891,0.019105803855791168,0.02392721914745168,0.024640702877610415
flextdoa_dynamic_final_01,flextdoa,dynamic,1,1786447730.1872704,1786447730.2852407,2147489247,True,True,0.024,"2,3,4,5",0.10476539806467429,-1.6833283963026737,-4.061012406507492,0.007309850825173004,0.008846801324571866,0.009135239925586906
flextdoa_dynamic_final_01,flextdoa,dynamic,2,1786447731.1563134,1786447731.242688,2147489367,True,True,0.024,"2,3,4,5",0.1074763611623418,-1.685095066244691,-4.066800701857202,0.010706728853488065,0.013391961079919211,0.013651740384759548
flextdoa_dynamic_final_01,flextdoa,dynamic,3,1786447732.501854,1786447732.580265,2147489535,True,True,0.024,"2,3,4,5",0.1074763611623418,-1.685095066244691,-4.066800701857202,0.010706728853488065,0.013391961079919211,0.013651740384759548
flextdoa_dynamic_final_01,flextdoa,dynamic,4,1786447734.1217773,1786447734.1840012,2147489735,True,True,0.024,"2,3,4,5",0.13059785476928196,-1.6811946597141243,-4.067091223226135,0.01045710953680562,0.013680128028094528,0.014020999073539915
flextdoa_dynamic_final_01,flextdoa,dynamic,5,1786447736.132164,1786447736.2498906,2147489987,True,True,0.024,"2,3,4,5",0.11311138827955082,-1.6866319167565953,-4.0668766359541,0.012364676608075486,0.014057468432711365,0.014311599474221028
flextdoa_dynamic_final_01,flextdoa,dynamic,6,1786447738.6918232,1786447738.7798116,2147490303,True,True,0.024,"2,3,4,5",0.12508309586906202,-1.685648477771907,-4.066779838198794,0.008554419030186135,0.011950931894268588,0.012298681195264744
flextdoa_dynamic_final_01,flextdoa,dynamic,7,1786447741.9298146,1786447742.0612524,2147490707,True,True,0.024,"2,3,4,5",0.11943655405973974,-1.6841125649435864,-4.066703435987059,0.005990684189308515,0.008050621944579953,0.008319479986234607
flextdoa_dynamic_final_01,flextdoa,dynamic,8,1786447744.6739495,1786447744.7444727,2147491048,True,True,0.024,"2,3,4,5",0.11994585006261385,-1.6820764681815166,-4.063955754357523,0.010171119937644036,0.01329462045461744,0.013750625661776622
flextdoa_dynamic_final_01,flextdoa,dynamic,9,1786447747.5732536,1786447747.6701167,2147491407,True,True,0.024,"2,3,4,5",0.12020383638225231,-1.6860552683236016,-4.06396742926257,0.009896006315388006,0.012524856550268922,0.013015257981424265
