mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785486769.1755545,,24.19447898864746,3,1.5438377656752038,1.5412903128811444,4.8834960802221685
rolling,1785486769.195022,,43.662071228027344,4,1.5390992100680565,1.5366132186664778,4.419279068332057
rolling,1785486769.2038164,,40.4050350189209,4,1.538375311613666,1.5380963251208453,4.572103877024983
rolling,1785486769.2138603,,50.44889450073242,4,1.5435917442270837,1.5426703745317085,5.020416817804981
coherent,1785486769.2156143,63152,20.592212677001953,4,1.536181181082101,1.546580126847093,5.436609112248196
rolling,1785486769.2156143,,20.592212677001953,4,1.536181181082101,1.546580126847093,5.436609112248196
rolling,1785486769.24575,,41.933536529541016,4,1.5478582900483362,1.5581057779775,6.588952353255897
rolling,1785486769.2510374,,37.177085876464844,4,1.5517304293729892,1.5501726282521864,5.8529830172179045
rolling,1785486769.2626486,,48.78830909729004,4,1.5596023664796557,1.5460194588199565,5.641843192880286
coherent,1785486769.2807803,63156,35.030364990234375,4,1.5580423733826467,1.5446515727500834,5.463723977972186
rolling,1785486769.2807803,,35.030364990234375,4,1.5580423733826467,1.5446515727500834,5.463723977972186
rolling,1785486769.3037698,,52.73246765136719,4,1.5478180179493566,1.5345598322261125,4.249529772483597
rolling,1785486769.3136494,,51.00083351135254,4,1.5417800752679434,1.5469302299077103,5.443023821671143
rolling,1785486769.3247356,,43.955326080322266,4,1.5376201443827202,1.5491249753126335,5.677537790782142
coherent,1785486769.3418553,63161,38.0854606628418,4,1.5394397249386462,1.5507204816647038,5.826630120514969
rolling,1785486769.3418553,,38.0854606628418,4,1.5394397249386462,1.5507204816647038,5.826630120514969
rolling,1785486769.3518639,,38.21444511413574,4,1.5447833181074848,1.5559947658068611,6.35671794529956
rolling,1785486769.366053,,41.31746292114258,4,1.542626352760342,1.560413906652918,6.791956059208433
rolling,1785486769.3740363,,32.1810245513916,4,1.543089407884264,1.5601696025686687,6.768285695271739
coherent,1785486769.392468,63165,40.6041145324707,4,1.5425701154262632,1.5597142589387185,6.721926207563948
rolling,1785486769.392468,,40.6041145324707,4,1.5425701154262632,1.5597142589387185,6.721926207563948
rolling,1785486769.4147394,,48.68626594543457,4,1.5464729766440886,1.5635664981305526,7.122326631740818
rolling,1785486769.4196932,,45.65691947937012,4,1.5520027883281249,1.552237147514746,6.061061344104574
rolling,1785486769.423374,,30.905961990356445,4,1.5657967244906892,1.5449595799676201,5.770833985751323
coherent,1785486769.4412425,63169,26.50308609008789,4,1.5665754868674402,1.5456424408142109,5.865512606667349
rolling,1785486769.4412425,,26.50308609008789,4,1.5665754868674402,1.5456424408142109,5.865512606667349
