mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785487215.599481,,47.29104042053223,3,1.5513281403984354,1.5364057711118366,4.493837458583847
rolling,1785487215.6229768,,70.78671455383301,4,1.5402223626118225,1.5422650883547848,4.978852975283869
rolling,1785487215.627352,,30.299663543701172,4,1.542577691249136,1.5443303675147577,5.183697589094829
coherent,1785487215.643453,21680,43.97177696228027,4,1.5440409363444951,1.5457746336028921,5.332386871614755
rolling,1785487215.643453,,43.97177696228027,4,1.5440409363444951,1.5457746336028921,5.332386871614755
rolling,1785487215.660586,,37.60933876037598,4,1.543312782552141,1.5472664582955165,5.478875106753052
rolling,1785487215.6720483,,44.69633102416992,4,1.552584392294559,1.542374833064268,5.103805471979707
rolling,1785487215.6892738,,45.82095146179199,4,1.5551902577979275,1.5446597964585638,5.386357671259458
coherent,1785487215.7028437,21684,42.25754737854004,4,1.552265734775162,1.5417732059351126,5.038282942616039
rolling,1785487215.7028437,,42.25754737854004,4,1.552265734775162,1.5417732059351126,5.038282942616039
rolling,1785487215.714217,,42.168617248535156,4,1.5455169869869392,1.5555998847225931,6.3212227005258415
rolling,1785487215.7309716,,41.69774055480957,4,1.5418184300633988,1.557551213010671,6.50512490028691
rolling,1785487215.7428281,,39.98446464538574,4,1.534229037787612,1.5508964246063146,5.887875066100809
coherent,1785487215.7739327,21688,59.71574783325195,4,1.538130150411702,1.5547469378845318,6.235210170509625
rolling,1785487215.7739327,,59.71574783325195,4,1.538130150411702,1.5547469378845318,6.235210170509625
rolling,1785487215.7743006,,43.32900047302246,4,1.5369340185545528,1.5571975452409268,6.487654458650422
rolling,1785487215.791054,,48.22587966918945,4,1.5299629742621603,1.5608754110157137,6.9383937675172955
rolling,1785487215.8031619,,29.229164123535156,4,1.5302263230064221,1.5611063293957281,6.956740303193352
rolling,1785487215.8313556,,57.054996490478516,4,1.5282740181006416,1.5591793468430026,6.802747521083881
rolling,1785487215.8487508,,57.69681930541992,4,1.5280351190629011,1.5596687976805697,6.855468868700451
