mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785485239.6899905,,309.51929092407227,3,1.5309407225897387,1.559065047277471,6.7436977965979015
rolling,1785485239.790925,,410.45379638671875,4,1.5437460789413178,1.5523090463278248,5.984234582454032
rolling,1785485239.8904104,,298.8882064819336,4,1.541936371759423,1.5507221974825263,5.822249577377292
rolling,1785485240.0003893,,310.39881706237793,4,1.541456492066114,1.5502485420644223,5.774928793910462
rolling,1785485240.1007342,,309.80920791625977,4,1.5459541115158397,1.5410339230875205,4.87156673350882
coherent,1785485240.200694,16608,310.2836608886719,4,1.5509298263770386,1.5384087767499661,4.681757143414009
rolling,1785485240.200694,,310.2836608886719,4,1.5509298263770386,1.5384087767499661,4.681757143414009
rolling,1785485240.3006597,,300.27031898498535,4,1.5498931221037093,1.5374997385389746,4.573059048571318
rolling,1785485240.4153666,,314.6324157714844,4,1.5585643984384743,1.5460585441627672,5.613592118851227
rolling,1785485240.5154316,,314.73755836486816,4,1.560947387698236,1.541176330738487,5.2325183884999005
coherent,1785485240.6220653,16612,321.40564918518066,4,1.5404314293997776,1.552000382013731,5.951499044953038
rolling,1785485240.6220653,,321.40564918518066,4,1.5404314293997776,1.552000382013731,5.951499044953038
rolling,1785485240.7152314,,299.8647689819336,4,1.5412091339150256,1.5526823152703095,6.018474563721952
rolling,1785485240.8259332,,310.5015754699707,4,1.5450857662268167,1.5565086657578975,6.409552736678446
rolling,1785485240.926133,,304.06761169433594,4,1.5372633093813284,1.572535134893438,8.016079596734617
coherent,1785485241.0262845,16616,311.0530376434326,4,1.556876483557995,1.5621873851139658,7.131018264492446
rolling,1785485241.0262845,,311.0530376434326,4,1.556876483557995,1.5621873851139658,7.131018264492446
rolling,1785485241.1219504,,296.0171699523926,4,1.5640840466011394,1.5685073650570518,7.92207623069724
rolling,1785485241.3384573,,412.3244285583496,4,1.5524961159154187,1.5570697355210823,6.545784714249423
rolling,1785485241.4386392,,412.3547077178955,4,1.559364067722244,1.5429988342901024,5.348259199387246
rolling,1785485241.538556,,416.60571098327637,4,1.5392901500197336,1.553589668573643,6.113917294470845
rolling,1785485241.6385436,,300.08625984191895,4,1.5420964802779955,1.5560504102750645,6.355135478266434
rolling,1785485241.7527103,,314.0711784362793,4,1.5449816599417099,1.5588981677421456,6.647676515515003
rolling,1785485241.8526142,,314.0580654144287,4,1.5395271350062651,1.5700732726041637,7.76051142084095
coherent,1785485241.9548004,16625,316.2567615509033,4,1.5500710693449091,1.564510379354724,7.248955048732228
rolling,1785485241.9548004,,316.2567615509033,4,1.5500710693449091,1.564510379354724,7.248955048732228
rolling,1785485242.05308,,300.3697395324707,4,1.5454714875281395,1.5604772179859563,6.807901023467017
rolling,1785485242.1667073,,314.09311294555664,4,1.5401880022689618,1.5552622621243624,6.278169624881878
rolling,1785485242.2666743,,311.8739128112793,4,1.540896188706255,1.5538113460881775,6.131729081482328
coherent,1785485242.3794258,16629,326.34568214416504,4,1.5381563145489194,1.5552568812143115,6.2859690699752235
