mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785485500.6889055,,30.10392189025879,3,1.5591255694166115,1.5663045145751282,7.582227103049479
rolling,1785485500.7134163,,54.61478233337402,4,1.5506965943602065,1.5579848674631656,6.609318737445219
rolling,1785485500.7274928,,53.472042083740234,4,1.550936911843935,1.557492510546179,6.563859974377445
coherent,1785485500.7412157,4567,52.31022834777832,4,1.5564696167691028,1.554573500820696,6.379487927699377
rolling,1785485500.7412157,,52.31022834777832,4,1.5564696167691028,1.554573500820696,6.379487927699377
rolling,1785485500.755619,,42.20271110534668,4,1.5590460972307092,1.556832697825791,6.661719739645822
rolling,1785485500.7699127,,42.4199104309082,4,1.5624633958255845,1.5602056723802675,7.080326856220321
rolling,1785485500.7881913,,46.97561264038086,4,1.5622230783418563,1.5606980292972532,7.120476203752668
coherent,1785485500.801714,4571,46.09489440917969,4,1.5594605084943078,1.5621555384833365,7.187180359870301
rolling,1785485500.801714,,46.09489440917969,4,1.5594605084943078,1.5621555384833365,7.187180359870301
rolling,1785485500.8173273,,47.414541244506836,4,1.5568840280327008,1.5598963414782416,6.907463824839284
rolling,1785485500.8432875,,55.09614944458008,4,1.5490887971594642,1.5522022185762725,6.015158224582946
rolling,1785485500.8628101,,61.09619140625,4,1.5495695412381507,1.551217281197729,5.923566777228329
coherent,1785485500.8737779,4575,56.450605392456055,4,1.5527918038851443,1.5495172418622039,5.807656414261304
rolling,1785485500.8737779,,56.450605392456055,4,1.5527918038851443,1.5495172418622039,5.807656414261304
rolling,1785485500.8851373,,41.84985160827637,4,1.5397330913265452,1.5380666585015241,4.56112736896437
rolling,1785485500.921951,,59.140920639038086,4,1.552428756143758,1.5505976543134916,5.907091729021844
rolling,1785485500.9362426,,62.46471405029297,4,1.5570175925816319,1.5411961520754776,5.103346559069593
rolling,1785485500.9536874,,68.55010986328125,4,1.5491742352330113,1.545334243061845,5.335331769171641
rolling,1785485500.9662464,,44.295310974121094,4,1.5614577116198713,1.5561050575426378,6.658826655120474
rolling,1785485500.9868503,,50.60768127441406,4,1.5594949151516768,1.5541677195082149,6.417000578996454
rolling,1785485501.0012188,,47.5313663482666,4,1.5568334194777425,1.559620530449228,6.879444127927275
coherent,1785485501.0157218,4584,49.47543144226074,4,1.5674305205721624,1.5540295868556475,6.667367693088432
rolling,1785485501.0157218,,49.47543144226074,4,1.5674305205721624,1.5540295868556475,6.667367693088432
rolling,1785485501.0387075,,51.85723304748535,4,1.5546185835942716,1.5427953896314732,5.1915572441267255
rolling,1785485501.054908,,53.68924140930176,4,1.5463157141021726,1.5346002124327385,4.23470616707286
rolling,1785485501.0739079,,58.18605422973633,4,1.5451103077904869,1.537069821077644,4.469631550072111
coherent,1785485501.08298,4588,44.272422790527344,4,1.5469419340487576,1.5361034700913436,4.391148805464638
rolling,1785485501.08298,,44.272422790527344,4,1.5469419340487576,1.5361034700913436,4.391148805464638
rolling,1785485501.0960455,,41.1374568939209,4,1.5664374400051109,1.5531981810063817,6.552662719451871
rolling,1785485501.1142654,,40.35758972167969,4,1.5644930037711404,1.5512789650649306,6.302547861490974
rolling,1785485501.1356678,,52.687883377075195,4,1.5613717133746492,1.5576737928269113,6.806346235097105
coherent,1785485501.1445746,4592,48.52914810180664,4,1.5586230131155647,1.5591239845319143,6.872738818336384
rolling,1785485501.1445746,,48.52914810180664,4,1.5586230131155647,1.5591239845319143,6.872738818336384
rolling,1785485501.1592345,,44.96908187866211,4,1.5563184618304136,1.5571032296924803,6.622550389995981
rolling,1785485501.1953504,,59.682607650756836,4,1.5558328992074635,1.5566239650551226,6.565219679857
rolling,1785485501.2127624,,68.18771362304688,4,1.555593563724804,1.5571143100709717,6.608065770367595
rolling,1785485501.225361,,66.12658500671387,4,1.5514563285297935,1.5592970814159453,6.749861405404345
rolling,1785485501.241698,,46.347618103027344,4,1.547852547008221,1.5561370914444026,6.3929026955607675
rolling,1785485501.2588406,,46.07820510864258,4,1.5488238908283385,1.5570958364583198,6.498201304362048
rolling,1785485501.2662392,,40.8780574798584,4,1.5497818874263563,1.555133115127497,6.314600799895397
coherent,1785485501.2818391,4601,40.14110565185547,4,1.544239095527761,1.5580574466574015,6.560468282664261
rolling,1785485501.2818391,,40.14110565185547,4,1.544239095527761,1.5580574466574015,6.560468282664261
rolling,1785485501.30443,,45.589447021484375,4,1.5395718105747735,1.553964919527916,6.150350267867154
rolling,1785485501.3247974,,58.55822563171387,4,1.5390860293776065,1.5534854391513564,6.104359530663947
rolling,1785485501.3381047,,56.26559257507324,4,1.5436603540219116,1.544113668341246,5.164900978846716
coherent,1785485501.3553882,4605,50.95815658569336,4,1.5547156768988184,1.5382809706947016,4.758157264313241
rolling,1785485501.3553882,,50.95815658569336,4,1.5547156768988184,1.5382809706947016,4.758157264313241
rolling,1785485501.3741562,,49.35884475708008,4,1.5434118978042701,1.5283692076298512,3.5907686646527597
rolling,1785485501.3935623,,55.45759201049805,4,1.5526791167415448,1.537516226188038,4.632392700282346
rolling,1785485501.4030418,,47.6536750793457,4,1.5473861309818815,1.5483603733131215,5.61439870255598
coherent,1785485501.419976,4609,45.819759368896484,4,1.5404907389901976,1.5519983255547434,5.951164996964077
rolling,1785485501.419976,,45.819759368896484,4,1.5404907389901976,1.5519983255547434,5.951164996964077
rolling,1785485501.4334414,,39.87908363342285,4,1.554651273074669,1.5644150454448829,7.306310018255973
rolling,1785485501.4738886,,70.8467960357666,4,1.5512278544017195,1.561036030192749,6.918827327402827
rolling,1785485501.484779,,64.80288505554199,4,1.55918713672943,1.5447292361655403,5.506311694552559
rolling,1785485501.498485,,65.04368782043457,4,1.5601092542169583,1.5442427345446257,5.4903304031346885
rolling,1785485501.513575,,39.68644142150879,4,1.559590902080294,1.54378821543913,5.430265951101534
rolling,1785485501.5445452,,59.766292572021484,4,1.561056770066256,1.5452350703976896,5.615816076262263
rolling,1785485501.555574,,57.08885192871094,4,1.5564596411749143,1.5546535620230777,6.387048469873474
coherent,1785485501.5623915,4618,48.81644248962402,4,1.555537523687386,1.5551400636439918,6.413948380485756
rolling,1785485501.5623915,,48.81644248962402,4,1.555537523687386,1.5551400636439918,6.413948380485756
rolling,1785485501.5806208,,36.075592041015625,4,1.5526781828137877,1.5526328393764528,6.1117784245552
rolling,1785485501.5974944,,41.92042350769043,4,1.5424584174390543,1.542545629375725,5.005064310156648
rolling,1785485501.6126115,,50.22001266479492,4,1.5453572845935117,1.5366064972211337,4.425376367334728
coherent,1785485501.6274407,4622,46.81992530822754,4,1.5416604088322097,1.538556938541808,4.605702567927328
rolling,1785485501.6274407,,46.81992530822754,4,1.5416604088322097,1.538556938541808,4.605702567927328
