profile,slot_ms,gap_ms,capture_s,raw_ranges,delivery_pct,coherent_hz,rolling_hz,coherent_rms_cm,coherent_cep95_cm,negative_ranges,raw_spikes_gt_10cm,min_raw_m,verdict
410 ms control,100,10,180,1647,94.1143,1.7223,9.1561,1.3555,2.2987,0,0,2.121,accepted control
64 ms reserve,15,4,180,10468,94.0268,10.9192,58.1380,1.3763,2.4124,0,0,2.156,accepted reserve
60 ms limit,14,4,180,11158,93.9700,11.6331,61.9562,1.3766,2.3892,0,0,2.152,accepted recommended
59 ms,14,3,180,11304,93.7547,11.8189,62.7780,1.3065,2.2014,1,1,-5.301,rejected
58 ms,14,2,180,11433,93.3230,12.0026,63.4788,1.3456,2.2974,2,2,-5.875,rejected
57 ms,14,1,60,3866,93.0221,12.2144,64.3670,1.3819,2.4234,1,1,-23.455,rejected
49 ms,12,1,60,4462,92.4560,17.6090,74.2647,1.3026,2.2482,1,1,-17.889,rejected
33 ms,8,1,180,19311,90.6067,20.4168,107.2117,1.3276,2.3306,7,9,-20.511,rejected
29 ms,7,1,180,21448,88.9184,23.3666,119.0932,1.4259,2.4614,13,19,-22.831,rejected
25 ms,6,1,60,8242,89.2764,27.0923,137.2751,1.4304,2.4686,2,2,-3.646,rejected
21 ms,5,1,60,9483,87.8951,33.3399,157.8525,1.4319,2.5311,4,4,-39.181,rejected
17 ms,4,1,60,11467,87.1419,39.7712,191.0355,1.3407,2.3507,13,15,-40.249,rejected
13 ms,3,1,60,14303,85.2994,44.9872,238.1192,1.3778,2.3649,20,22,-53.505,rejected
