capture,anchor_a_id,anchor_b_id,n,mean_error_cm,std_cm,p95_abs_error_cm
Uncalibrated,2,3,2854,7.080974071478628,1.1446054291902619,9.10000000000002
Uncalibrated,2,4,2788,5.596951219512195,1.7042491152341597,8.199999999999985
Uncalibrated,2,5,2783,-4.927489480882842,1.9473586448544293,7.7640687119284735
Uncalibrated,3,4,2771,6.666389606368167,1.0843536593107288,8.435931288071519
Uncalibrated,3,5,2785,6.622800718132855,1.3232153121679815,8.899999999999997
Uncalibrated,4,5,2768,-2.865390173410402,1.336819010321909,4.899999999999993
Calibrated,2,3,2891,7.1333102732618485,1.1942657428716803,9.200000000000008
Calibrated,2,4,2799,6.049124687388352,1.6685433584590903,8.499999999999996
Calibrated,2,5,2841,-4.705216195209013,2.107217631761662,7.66406871192844
Calibrated,3,4,2838,6.658693796880543,1.0519682178909076,8.335931288071485
Calibrated,3,5,2824,6.613633144475921,1.4202479320280414,9.10000000000002
Calibrated,4,5,2842,-2.667206192821954,1.4493931314691022,4.999999999999982
