capture,anchor_a_id,anchor_b_id,n,mean_error_cm,std_cm,p95_abs_error_cm
Uncalibrated,2,3,2854,7.077680448493344,1.154987090234407,9.10000000000002
Uncalibrated,2,4,2788,5.636370157819226,1.6729288954831154,8.199999999999985
Uncalibrated,2,5,2784,-4.899593137215835,1.9743392108655746,7.7640687119284735
Uncalibrated,3,4,2770,6.670913237530007,1.1036922584377007,8.435931288071519
Uncalibrated,3,5,2784,6.633333333333334,1.3246911200956706,8.899999999999997
Uncalibrated,4,5,2768,-2.8755057803468187,1.3450063301546025,4.999999999999982
Calibrated,2,3,2891,0.03849878934624729,1.1941705413880142,2.300000000000013
Calibrated,2,4,2799,0.49296177206144925,1.669585746315341,3.100000000000014
Calibrated,2,5,2843,0.21412333872224473,2.1030278686803636,3.935931288071526
Calibrated,3,4,2838,-0.03320190431748082,1.030291318069444,2.064068711928435
Calibrated,3,5,2824,-0.009348441926345177,1.4094857533723635,2.8000000000000025
Calibrated,4,5,2842,0.2454961294862776,1.4515024381180048,3.100000000000014
