capture,initiator_id,responder_id,n,mean_error_cm,std_cm,p95_abs_error_cm,rmse_cm
Uncalibrated,2,3,1461,1.9763175906913073,4.969971513151037,10.7,5.346918870713595
Uncalibrated,2,4,1344,-0.44218750000000007,5.667304956669553,10.98499999999999,5.682427093995262
Uncalibrated,2,5,1323,-6.249357520786092,5.6950722491258166,16.0,8.45362655700088
Uncalibrated,3,2,1393,-3.6651112706389086,4.920734076958888,11.4,6.134271116025951
Uncalibrated,3,4,1392,-6.410272988505747,4.716718745802562,14.499999999999998,7.957578347771357
Uncalibrated,3,5,1373,-9.43634377276038,4.307052021729684,16.3,10.37216321926387
Uncalibrated,4,2,1444,-1.0283240997229917,5.434435743783023,11.1,5.529022520093477
Uncalibrated,4,3,1378,5.734470246734396,4.31217498018728,12.8,7.173946471962518
Uncalibrated,4,5,1403,-3.9223093371347115,4.680315999865096,11.389999999999986,6.105264545250944
Uncalibrated,5,2,1461,5.428815879534565,5.578057356362603,14.799999999999999,7.782381952650955
Uncalibrated,5,3,1411,8.190574060949682,4.163451636368115,15.2,9.187358044531218
Uncalibrated,5,4,1365,3.3109890109890108,4.456480269955957,10.6,5.550523850801383
Calibrated,2,3,1458,6.399108367626886,4.7581962548615975,14.099999999999998,7.973298632540754
Calibrated,2,4,1360,7.220882352941177,5.508205594841017,15.904999999999998,9.080702713155292
Calibrated,2,5,1394,-4.885509325681493,6.27837405897359,14.499999999999998,7.9534838472498866
Calibrated,3,2,1433,6.740753663642709,5.759748839503706,14.6,8.865061540679113
Calibrated,3,4,1417,4.976923076923077,4.48587672154358,12.5,6.699153086910546
Calibrated,3,5,1396,6.148209169054441,4.2448573586077805,13.4,7.470366960296526
Calibrated,4,2,1439,2.2939541348158445,5.190469320496819,11.0,5.673136286930744
Calibrated,4,3,1421,7.241097818437719,4.404196133538825,15.1,8.474478803576003
Calibrated,4,5,1419,-2.953699788583509,4.795386540269657,10.6,5.630618875556744
Calibrated,5,2,1449,-5.543616287094548,5.266054343614419,14.059999999999992,7.644859163883319
Calibrated,5,3,1428,6.01813725490196,4.25398615531353,13.200000000000001,7.368968834285586
Calibrated,5,4,1423,-3.5557273366127897,4.413249679103042,11.0,5.666240596882279
