protocol,pair,n,median_m,std_cm,rtk_horizontal_m,rtk_3d_m,bias_vs_horizontal_cm,bias_vs_3d_cm
FlexTDOA,A2-A3,27464,4.912,4.940115020556347,4.892620034896235,4.892875534261277,1.9379965103764718,1.912446573872284
FlexTDOA,A2-A4,29397,5.066,5.603201939001193,5.003668854094036,5.005357381163534,6.233114590596411,6.064261883646616
FlexTDOA,A2-A5,28301,6.909,4.896036475094187,6.968621063074916,6.970694428847663,-5.962106307491588,-6.16944288476633
FlexTDOA,A3-A4,26554,7.074,4.572033145265973,7.037164744310667,7.037619459223442,3.683525568933277,3.6380540776558057
FlexTDOA,A3-A5,28269,4.847,5.802475287049193,4.807572978349933,4.809070430819449,3.9427021650067395,3.792956918055168
FlexTDOA,A4-A5,18664,4.968,4.572668320801341,5.106832433439599,5.10698909843862,-13.883243343959872,-13.89890984386204
Native DS-TWR,A2-A3,30,4.8965,1.498581704958647,4.892620034896235,4.892875534261277,0.38799651037644267,0.3624465738722549
Native DS-TWR,A2-A4,29,5.055,3.0693503107415525,5.003668854094036,5.005357381163534,5.133114590596399,4.9642618836466035
Native DS-TWR,A2-A5,29,6.883,1.2569609138379112,6.968621063074916,6.970694428847663,-8.562106307491568,-8.76944288476631
Native DS-TWR,A3-A4,31,7.047,1.8384776310850326,7.037164744310667,7.037619459223442,0.9835255689332634,0.9380540776557922
Native DS-TWR,A3-A5,29,4.84,2.2281229812791894,4.807572978349933,4.809070430819449,3.2427021650066834,3.092956918055112
Native DS-TWR,A4-A5,28,4.943,1.9810310767335662,5.106832433439599,5.10698909843862,-16.383243343959908,-16.398909843862075
Passive DS-TWR,A2-A3,7934,4.92,1.2666519855370222,4.892620034896235,4.892875534261277,2.7379965103764725,2.7124465738722847
Passive DS-TWR,A2-A4,7845,5.076,3.167453985321348,5.003668854094036,5.005357381163534,7.23311459059639,7.064261883646594
Passive DS-TWR,A2-A5,7486,6.911,1.4214834994912562,6.968621063074916,6.970694428847663,-5.76210630749161,-5.969442884766352
Passive DS-TWR,A3-A4,7641,7.081,1.8154971545465841,7.037164744310667,7.037619459223442,4.383525568933333,4.338054077655862
Passive DS-TWR,A3-A5,7664,4.86,2.798437937931244,4.807572978349933,4.809070430819449,5.24270216500673,5.092956918055158
Passive DS-TWR,A4-A5,6158,4.973,1.7439160925987038,5.106832433439599,5.10698909843862,-13.383243343959883,-13.39890984386205
