mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785527226.261962,,25.089025497436523,3,1.5271953333333332,1.4929233333333334,2.810098514682744
rolling,1785527226.2836728,,46.79989814758301,4,1.5261531111111108,1.491881111111111,2.738433087698575
rolling,1785527226.2879453,,40.77410697937012,4,1.532935333333333,1.4783166666666667,3.9432259968485246
rolling,1785527226.2967167,,34.75475311279297,4,1.524427333333333,1.4825706666666667,3.00079368538092
coherent,1785527226.3068218,1014,23.14901351928711,4,1.5265508333333333,1.4846941666666669,3.0646619466463414
rolling,1785527226.3068218,,23.14901351928711,4,1.5265508333333333,1.4846941666666669,3.0646619466463414
rolling,1785527226.3290362,,41.090965270996094,4,1.533273944444444,1.4914172777777779,3.436303973218576
rolling,1785527226.3367321,,40.015459060668945,4,1.519321722222222,1.519321722222222,2.73250416150719
rolling,1785527226.352182,,45.36008834838867,4,1.5054629444444445,1.5262511111111108,2.6813515184902017
coherent,1785527226.3568993,1015,27.863025665283203,4,1.504048277777778,1.5248364444444442,2.5164211205758362
rolling,1785527226.3568993,,27.863025665283203,4,1.504048277777778,1.5248364444444442,2.5164211205758362
rolling,1785527226.378258,,41.525840759277344,4,1.5137282777777779,1.5345164444444441,3.7146339628962464
rolling,1785527226.395033,,42.85097122192383,4,1.524520777777778,1.512931444444444,2.772166658494605
rolling,1785527226.3974636,,40.56429862976074,4,1.5360034444444444,1.5071901111111108,3.6714380148033423
coherent,1785527226.409462,1016,31.2039852142334,4,1.535767277777778,1.5069539444444444,3.643700732729228
rolling,1785527226.409462,,31.2039852142334,4,1.535767277777778,1.5069539444444444,3.643700732729228
rolling,1785527226.4274142,,32.381296157836914,4,1.529948611111111,1.501135277777778,2.997012117288271
rolling,1785527226.4366677,,39.20412063598633,4,1.5217735,1.5174854999999998,2.792540084761522
rolling,1785527226.4467194,,37.25743293762207,4,1.5150908333333335,1.5208268333333332,2.571945250950902
coherent,1785527226.4563947,1017,28.980493545532227,4,1.5139083333333332,1.5196443333333336,2.4069515330023337
rolling,1785527226.4563947,,28.980493545532227,4,1.5139083333333332,1.5196443333333336,2.4069515330023337
rolling,1785527226.4766393,,39.97159004211426,4,1.5105288888888895,1.5162648888888886,1.9375348043389324
rolling,1785527226.4880817,,41.36228561401367,4,1.522107555555556,1.4931075555555555,2.3157068101591642
rolling,1785527226.510025,,53.63035202026367,4,1.5268853333333336,1.4907186666666667,2.844229767246142
coherent,1785527226.5107143,1018,34.075021743774414,4,1.527358666666667,1.4911919999999994,2.8741564080227175
rolling,1785527226.5107143,,34.075021743774414,4,1.527358666666667,1.4911919999999994,2.8741564080227175
rolling,1785527226.5331445,,45.06278038024902,4,1.527358666666667,1.4911919999999994,2.8741564080227175
rolling,1785527226.5478313,,59.749603271484375,4,1.5177808888888893,1.4959808888888884,1.8229461423818525
rolling,1785527226.548225,,37.51063346862793,4,1.511236388888889,1.5090698888888892,1.4440198049858621
coherent,1785527226.5675764,1019,34.43193435668945,4,1.5152417777777778,1.5130752777777774,2.008170009718302
rolling,1785527226.5675764,,34.43193435668945,4,1.5152417777777778,1.5130752777777774,2.008170009718302
rolling,1785527226.5925407,,44.70944404602051,4,1.5220115555555553,1.5198450555555556,2.9636713852557732
rolling,1785527226.5947158,,46.88453674316406,4,1.5155480555555554,1.5327720555555557,3.6273263664785773
rolling,1785527226.5967183,,29.141902923583984,4,1.531303722222222,1.5248942222222224,3.999556631697359
rolling,1785527226.636761,,69.18454170227051,4,1.5327600555555558,1.5263505555555554,4.2042514412074805
rolling,1785527226.649872,,82.29565620422363,4,1.5344280000000003,1.5230146666666662,4.141210047531735
rolling,1785527226.6575158,,89.93935585021973,4,1.534901666666667,1.5227778333333328,4.1676804429709176
coherent,1785527226.6668758,1021,30.11488914489746,4,1.5294749444444447,1.5173511111111107,3.4202827467816257
rolling,1785527226.6668758,,30.11488914489746,4,1.5294749444444447,1.5173511111111107,3.4202827467816257
rolling,1785527226.688511,,38.63883018493652,4,1.5217309444444447,1.5096071111111105,2.375985122741224
rolling,1785527226.6965222,,39.00647163391113,4,1.5328271666666666,1.4874146666666668,3.5156983466620355
rolling,1785527226.7083216,,41.44573211669922,4,1.5256988333333334,1.4909788333333334,2.7236216380441456
coherent,1785527226.7174613,1022,28.95045280456543,4,1.5266468333333336,1.4919268333333338,2.7842947881325903
rolling,1785527226.7174613,,28.95045280456543,4,1.5266468333333336,1.4919268333333338,2.7842947881325903
rolling,1785527226.7381651,,41.64290428161621,4,1.5373095000000003,1.5025895000000002,3.739925534686521
rolling,1785527226.756166,,47.84440994262695,4,1.534392166666667,1.508424166666667,3.540886487951252
rolling,1785527226.7574954,,40.03405570983887,4,1.533915166666667,1.508662666666667,3.50040043967199
