pair,module_a,module_b,samples,known_m,median_m,mean_m,std_cm,robust_sigma_cm,raw_error_cm,raw_error_dtu,fit_residual_cm,rounded_residual_cm
M1-M2,1,2,3429,2.1213203435596424,2.175,2.174801108194809,1.1616080252823215,1.0378200000000175,5.367965644035744,11.44468490407385,2.4999999999999902,2.5537515233175947
M1-M3,1,3,2997,2.1213203435596424,2.165,2.1664527861194527,1.7836862861932596,1.7791200000000014,4.367965644035765,9.31265097110902,1.266666666666676,1.5537515233176158
M1-M4,1,4,2564,2.1213203435596424,2.153,2.1510557722308894,4.786653891607994,1.7791200000000014,3.167965644035764,6.75421025155117,-0.5999999999999921,-0.5843198502551016
M1-M5,1,5,3325,2.1213203435596424,2.124,2.1233184962406013,1.9304428667012117,2.075639999999969,0.2679656440357725,0.5713118459530534,-3.166666666666674,-3.0152841634687353
M2-M3,2,3,345,3.0,3.029,3.0281710144927536,1.6089686150453026,1.7791200000000014,2.8999999999999915,6.182898405598116,-0.045310429357183615,0.08578587928184213
M2-M4,2,4,333,3.0,3.041,3.0338258258258257,10.048835556071655,1.186080000000001,4.0999999999999925,8.741339125155967,0.4880229039761507,0.3477145057091271
M2-M5,2,5,421,4.242640687119285,4.246,4.238667458432304,15.426359773818039,1.186080000000001,0.335931288071567,0.716216905313179,-2.9427124746189652,-2.9473185194329403
M3-M4,3,4,111,4.242640687119285,4.245,4.194585585585585,41.30558601158062,2.816940000000019,0.23593128807153363,0.5030135120166205,-3.6093791412856437,-3.516354206219332
M3-M5,3,5,407,3.0,3.059,3.031159705159705,26.919606684684283,1.4826000000000343,5.900000000000016,12.579000204492791,2.3880229039761494,2.616750192495509
M4-M5,4,5,483,3.0,3.079,3.0807660455486543,2.8532955162847204,3.4099800000000196,7.900000000000018,16.843068070422543,3.7213562373094846,3.6786788189227946
