mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785526141.3144095,,23.47421646118164,3,1.5179791666666667,1.4963791666666666,1.8340143621453888
coherent,1785526141.3185792,405,27.643918991088867,4,1.5269906111111107,1.5053906111111115,2.752365848324764
rolling,1785526141.3185792,,27.643918991088867,4,1.5269906111111107,1.5053906111111115,2.752365848324764
rolling,1785526141.33943,,30.264854431152344,4,1.5279555,1.5063555000000002,2.866883953877456
rolling,1785526141.3483727,,39.20745849609375,4,1.5270017222222223,1.506832388888889,2.7852729505293876
rolling,1785526141.3757849,,66.6196346282959,4,1.5255917222222224,1.5054223888888891,2.6159865205343467
rolling,1785526141.388679,,79.5137882232666,4,1.5299447222222224,1.5097753888888885,3.1499914553774073
rolling,1785526141.3986003,,89.43510055541992,4,1.5332790555555562,1.5081082222222215,3.4252573717528496
rolling,1785526141.4082415,,32.45663642883301,4,1.521098555555556,1.532469222222222,3.8722079466977535
coherent,1785526141.4289389,407,40.25983810424805,4,1.521098555555556,1.532469222222222,3.8722079466977535
rolling,1785526141.4289389,,40.25983810424805,4,1.521098555555556,1.532469222222222,3.8722079466977535
rolling,1785526141.4384983,,39.897918701171875,4,1.5138535555555557,1.525224222222222,2.877815818023993
rolling,1785526141.4484713,,40.22979736328125,4,1.5004508888888886,1.5319255555555558,3.19287393788261
rolling,1785526141.4583557,,29.416799545288086,4,1.5068633888888887,1.5191005555555555,2.029623929625834
coherent,1785526141.4755247,408,37.026405334472656,4,1.5054493888888887,1.5176865555555556,1.8507028034833142
rolling,1785526141.4755247,,37.026405334472656,4,1.5054493888888887,1.5176865555555556,1.8507028034833142
rolling,1785526141.4891422,,40.67087173461914,4,1.5097903888888882,1.5220275555555558,2.4105288182238396
rolling,1785526141.501455,,43.099403381347656,4,1.5126770555555558,1.520584222222222,2.417473768321925
rolling,1785526141.5099475,,34.422874450683594,4,1.512199277777778,1.521539777777777,2.475448252368458
coherent,1785526141.525203,409,36.06081008911133,4,1.5084090555555552,1.5177495555555556,1.9640746873684993
rolling,1785526141.525203,,36.06081008911133,4,1.5084090555555552,1.5177495555555556,1.9640746873684993
rolling,1785526141.5391893,,37.734270095825195,4,1.5050311666666667,1.5143716666666664,1.522686575778317
rolling,1785526141.551907,,41.959524154663086,4,1.5059916111111111,1.5138914444444442,1.5128503972960146
rolling,1785526141.5710175,,45.81451416015625,4,1.5115128888888887,1.5028488888888891,1.1860133998784854
rolling,1785526141.5987287,,73.52566719055176,4,1.5139245555555554,1.5052605555555556,1.4885116464873065
rolling,1785526141.6123424,,87.13936805725098,4,1.5168005555555555,1.5038225555555556,1.7229933196348004
rolling,1785526141.6303356,,105.1325798034668,4,1.5062894444444446,1.5248447777777776,2.562850159972109
coherent,1785526141.6314244,411,32.695770263671875,4,1.5027102777777779,1.521265611111111,2.143762630427447
rolling,1785526141.6314244,,32.695770263671875,4,1.5027102777777779,1.521265611111111,2.143762630427447
rolling,1785526141.6486306,,36.28826141357422,4,1.5022275000000003,1.5207828333333333,2.090186397456244
rolling,1785526141.65864,,28.304338455200195,4,1.4969487222222226,1.5234222222222222,2.3620135264310385
rolling,1785526141.6759126,,44.48819160461426,4,1.5036127222222224,1.5100942222222227,1.072124452321435
coherent,1785526141.6806436,412,32.012939453125,4,1.511925222222222,1.5184067222222224,2.193213049421855
rolling,1785526141.6806436,,32.012939453125,4,1.511925222222222,1.5184067222222224,2.193213049421855
rolling,1785526141.6991367,,40.496826171875,4,1.5157936666666665,1.522275166666667,2.7306097429064495
rolling,1785526141.7101462,,34.23357009887695,4,1.5046693333333332,1.5278373333333337,2.8226225409872088
rolling,1785526141.727658,,47.014474868774414,4,1.5068298333333334,1.5235163333333335,2.4488049265010132
coherent,1785526141.7299938,413,30.857086181640625,4,1.509414222222222,1.526100722222222,2.774662647189697
rolling,1785526141.7299938,,30.857086181640625,4,1.509414222222222,1.526100722222222,2.774662647189697
rolling,1785526141.7505124,,40.366172790527344,4,1.511839222222222,1.5285257222222226,3.0885012726669827
rolling,1785526141.7585368,,30.878782272338867,4,1.5239253333333334,1.5224826666666669,3.28312636911156
rolling,1785526141.775407,,45.41325569152832,4,1.5196133333333333,1.5311066666666668,3.6773734588093765
coherent,1785526141.7789764,414,28.464078903198242,4,1.5084769444444441,1.5199702777777784,2.1694943688238078
rolling,1785526141.7789764,,28.464078903198242,4,1.5084769444444441,1.5199702777777784,2.1694943688238078
rolling,1785526141.7987823,,40.24553298950195,4,1.4997729444444443,1.511266277777778,1.126856553388077
rolling,1785526141.8083684,,32.961368560791016,4,1.4915695,1.5153680000000003,1.7528512608034044
rolling,1785526141.8250022,,46.025753021240234,4,1.494920166666667,1.5086666666666664,1.0045686527338378
coherent,1785526141.8294792,415,30.696868896484375,4,1.5055876666666668,1.5193341666666664,2.012540731195804
rolling,1785526141.8294792,,30.696868896484375,4,1.5055876666666668,1.5193341666666664,2.012540731195804
rolling,1785526141.851261,,42.8924560546875,4,1.5094472222222222,1.5231937222222216,2.504393655633284
rolling,1785526141.8584917,,33.48946571350098,4,1.5190916666666663,1.5183714999999995,2.649535333527522
rolling,1785526141.874614,,45.134782791137695,4,1.5183718333333325,1.519811166666667,2.7018634027689137
rolling,1785526141.9084249,,78.94563674926758,4,1.5207912777777777,1.5222306111111108,3.0438089657633816
rolling,1785526141.9260113,,96.53210639953613,4,1.5130828333333333,1.5260848333333332,2.918182753111169
rolling,1785526141.9285455,,99.06625747680664,4,1.5150046111111108,1.522241277777778,2.6829327084068946
coherent,1785526141.9387498,417,30.324935913085938,4,1.5079179444444444,1.515154611111111,1.7098423382122536
rolling,1785526141.9387498,,30.324935913085938,4,1.5079179444444444,1.515154611111111,1.7098423382122536
rolling,1785526141.9584424,,32.43112564086914,4,1.5103429444444452,1.5175796111111108,2.0396549379705644
rolling,1785526141.9746375,,46.09203338623047,4,1.4972059444444443,1.5241481111111113,2.4309216702356053
rolling,1785526141.9885712,,60.025691986083984,4,1.5047615,1.5317036666666664,3.205923209250484
rolling,1785526142.0112,,82.65447616577148,4,1.4994338333333332,1.5263760000000002,2.63820757465074
rolling,1785526142.0254848,,96.9393253326416,4,1.5288832777777772,1.5116512777777782,3.1144758933778682
rolling,1785526142.0284917,,39.92056846618652,4,1.5293648333333327,1.5106881666666667,3.1249485489986144
coherent,1785526142.0410573,419,29.857397079467773,4,1.5141399444444448,1.4954632777777774,1.4849911697164824
rolling,1785526142.0410573,,29.857397079467773,4,1.5141399444444448,1.4954632777777774,1.4849911697164824
rolling,1785526142.0587738,,33.28895568847656,4,1.5204391666666666,1.5017625,2.0515017433036054
rolling,1785526142.0759661,,47.47438430786133,4,1.5079880555555554,1.5079880555555554,1.1296816503656157
rolling,1785526142.0853,,44.24262046813965,4,1.4982049999999996,1.5275541666666668,2.761257187757873
coherent,1785526142.0908732,420,32.09948539733887,4,1.5229441666666665,1.5522933333333337,5.710540688182623
rolling,1785526142.0908732,,32.09948539733887,4,1.5229441666666665,1.5522933333333337,5.710540688182623
rolling,1785526142.1126254,,36.65924072265625,4,1.5176116111111113,1.5469607777777779,5.0154595955135095
rolling,1785526142.1265247,,41.22471809387207,4,1.5093892777777773,1.551071944444445,5.19278542453348
rolling,1785526142.1288128,,37.93954849243164,4,1.5122332777777774,1.5453839444444446,4.70037817470541
coherent,1785526142.138584,421,25.958538055419922,4,1.5022501111111113,1.5354007777777778,3.547221542678094
rolling,1785526142.138584,,25.958538055419922,4,1.5022501111111113,1.5354007777777778,3.547221542678094
rolling,1785526142.1586246,,32.09996223449707,4,1.501766666666666,1.5349173333333335,3.496199762917201
rolling,1785526142.175417,,46.604156494140625,4,1.5095071111111107,1.531047111111111,3.247011348955649
rolling,1785526142.178554,,39.97015953063965,4,1.5123671111111108,1.5253271111111106,2.818524426839518
rolling,1785526142.2272358,,88.65189552307129,4,1.4989208888888887,1.5118808888888886,1.1929794699836227
rolling,1785526142.2285898,,90.00587463378906,4,1.5123297777777778,1.505176444444444,1.337232205474418
rolling,1785526142.2586071,,80.05309104919434,4,1.5099786666666666,1.5028253333333335,1.0370935198374727
rolling,1785526142.2785254,,99.97129440307617,4,1.5287549999999994,1.5216016666666672,3.596501116054
rolling,1785526142.2957551,,117.20108985900879,4,1.5263733333333331,1.5227925000000004,3.485757833471971
rolling,1785526142.309222,,130.66792488098145,4,1.5333933333333336,1.5298125,4.4764940158131905
rolling,1785526142.3287108,,150.15673637390137,4,1.5304826666666673,1.526901833333333,4.065589260864385
rolling,1785526142.3386273,,160.07328033447266,4,1.5126856666666666,1.5358003333333334,3.7981442910394554
rolling,1785526142.3485255,,39.30354118347168,4,1.516523888888889,1.5281238888888888,3.261889069614285
coherent,1785526142.3592353,425,30.524492263793945,4,1.5078515000000001,1.5194514999999997,2.0976341542318373
rolling,1785526142.3592353,,30.524492263793945,4,1.5078515000000001,1.5194514999999997,2.0976341542318373
rolling,1785526142.3821597,,43.532371520996094,4,1.4996480555555556,1.5112480555555554,1.1253560266548372
rolling,1785526142.3915737,,43.04814338684082,4,1.5188747222222225,1.5016347222222222,1.8945380854178886
rolling,1785526142.3985894,,39.35408592224121,4,1.5128900000000003,1.5136041666666666,1.8741009863250464
