mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785523173.5753207,,198.3504295349121,3,1.5066345000000005,1.5051578333333335,0.8403560849095677
rolling,1785523173.6850376,,308.06732177734375,4,1.5061546111111115,1.5046779444444438,0.7730614603918604
rolling,1785523173.7859406,,310.76645851135254,4,1.5046776111111113,1.505416444444444,0.715666934589969
rolling,1785523173.887556,,312.23535537719727,4,1.5000194444444446,1.5147327777777777,1.4732790609243054
coherent,1785523173.9850538,402,300.0161647796631,4,1.499774166666667,1.5144874999999995,1.4489260055103954
rolling,1785523173.9850538,,300.0161647796631,4,1.499774166666667,1.5144874999999995,1.4489260055103954
rolling,1785523174.0953932,,309.4525337219238,4,1.4987870555555554,1.5135003888888894,1.355476795731144
rolling,1785523174.195056,,307.49988555908203,4,1.5071302777777777,1.5093287777777782,1.1741676030935246
rolling,1785523174.2951643,,310.11056900024414,4,1.5071302777777777,1.5093287777777782,1.1741676030935246
coherent,1785523174.3952777,403,299.884557723999,4,1.5090893888888888,1.511287888888889,1.4492530004845878
rolling,1785523174.3952777,,299.884557723999,4,1.5090893888888888,1.511287888888889,1.4492530004845878
rolling,1785523174.5053048,,310.24885177612305,4,1.5105703888888886,1.512768888888889,1.6576418332050327
rolling,1785523174.6053824,,310.21809577941895,4,1.5027197222222222,1.5166942222222222,1.6914311826704196
rolling,1785523174.70527,,309.99231338500977,4,1.4968930555555557,1.5283475555555552,2.851731070343334
coherent,1785523174.8052394,404,299.93462562561035,4,1.497625888888889,1.5290803888888884,2.917713867905635
rolling,1785523174.8052394,,299.93462562561035,4,1.497625888888889,1.5290803888888884,2.917713867905635
rolling,1785523174.9152875,,309.9050521850586,4,1.4941733333333334,1.5256278333333335,2.628185468732305
rolling,1785523175.0163033,,311.0332489013672,4,1.487257333333333,1.5290858333333335,3.1754704446305895
rolling,1785523175.1165557,,311.31625175476074,4,1.494305944444444,1.5149886111111115,1.6033737297021344
coherent,1785523175.2215145,405,306.2269687652588,4,1.4911231111111107,1.511805777777778,1.4770766577397505
rolling,1785523175.2215145,,306.2269687652588,4,1.4911231111111107,1.511805777777778,1.4770766577397505
rolling,1785523175.3251748,,308.8715076446533,4,1.494575666666667,1.515258333333333,1.6193829942981575
rolling,1785523175.4252362,,308.68053436279297,4,1.4881146666666665,1.5184888333333333,2.197949286203449
rolling,1785523175.5257516,,304.23712730407715,4,1.4925366666666664,1.5096448333333337,1.2195251308285222
coherent,1785523175.625134,406,299.9591827392578,4,1.491061333333333,1.5081695000000002,1.2109520718335143
rolling,1785523175.625134,,299.9591827392578,4,1.491061333333333,1.5081695000000002,1.2109520718335143
rolling,1785523175.7352133,,309.97705459594727,4,1.4876087777777782,1.5047169444444441,1.3258655778488833
rolling,1785523175.8351586,,309.40699577331543,4,1.5034452222222225,1.4967987222222219,0.4702949667069814
rolling,1785523175.935219,,310.0850582122803,4,1.4968257222222223,1.5100377222222225,1.052767338118891
coherent,1785523176.0352871,407,300.07386207580566,4,1.496579444444445,1.5097914444444445,1.037172042706904
rolling,1785523176.0352871,,300.07386207580566,4,1.496579444444445,1.5097914444444445,1.037172042706904
rolling,1785523176.1503375,,315.17887115478516,4,1.4951031111111113,1.5083151111111106,0.9649901221268379
rolling,1785523176.2449722,,309.7531795501709,4,1.499026666666667,1.5063533333333328,0.6427458457447583
rolling,1785523176.345156,,309.86881256103516,4,1.5034306666666668,1.4975453333333333,0.4218395692941027
coherent,1785523176.445105,408,294.7676181793213,4,1.5071131666666668,1.5012278333333333,0.7218359558945828
rolling,1785523176.445105,,294.7676181793213,4,1.5071131666666668,1.5012278333333333,0.7218359558945828
rolling,1785523176.5552776,,310.3053569793701,4,1.5071131666666668,1.5012278333333333,0.7218359558945828
rolling,1785523176.6552975,,310.14156341552734,4,1.5139451666666663,1.4978118333333337,1.411579777136991
rolling,1785523176.755319,,310.2140426635742,4,1.5112495555555552,1.5032030555555558,1.1696668974092546
coherent,1785523176.8550723,409,299.79467391967773,4,1.5097795555555555,1.5017330555555555,0.9931927729440994
rolling,1785523176.8550723,,299.79467391967773,4,1.5097795555555555,1.5017330555555555,0.9931927729440994
rolling,1785523176.9735942,,318.2966709136963,4,1.514708444444444,1.5066619444444447,1.614682141339791
rolling,1785523177.0714023,,316.0831928253174,4,1.5078764444444446,1.5100779444444443,1.27907521792789
rolling,1785523177.1652172,,310.14490127563477,4,1.5047080555555556,1.5164147222222224,1.707655974565487
coherent,1785523177.2650332,410,291.4390563964844,4,1.5117760000000002,1.5234826666666668,2.6269941183371306
rolling,1785523177.2650332,,291.4390563964844,4,1.5117760000000002,1.5234826666666668,2.6269941183371306
rolling,1785523177.3788445,,307.44218826293945,4,1.5117760000000002,1.5234826666666668,2.6269941183371306
rolling,1785523177.475088,,309.87071990966797,4,1.5019404444444442,1.5284004444444448,2.8466657149794896
rolling,1785523177.5756028,,310.56952476501465,4,1.5142293333333332,1.5038226666666665,1.4733862614927251
coherent,1785523177.6751306,411,296.28610610961914,4,1.5054413333333332,1.4950346666666665,0.7366318181802596
rolling,1785523177.6751306,,296.28610610961914,4,1.5054413333333332,1.4950346666666665,0.7366318181802596
rolling,1785523177.7882164,,313.1284713745117,4,1.5010043333333334,1.4905976666666667,0.9455821358060591
rolling,1785523177.884953,,309.35025215148926,4,1.5123075555555554,1.4849460555555556,1.9444720802559792
rolling,1785523177.9851038,,309.97323989868164,4,1.5005048888888886,1.5085513888888893,0.8566280681786134
coherent,1785523178.0852125,412,296.9961166381836,4,1.4948149444444443,1.5028614444444446,0.5922217947934867
rolling,1785523178.0852125,,296.9961166381836,4,1.4948149444444443,1.5028614444444446,0.5922217947934867
rolling,1785523178.2180703,,333.1172466278076,4,1.4982643888888885,1.5063108888888894,0.6545201639133952
rolling,1785523178.2953522,,310.24837493896484,4,1.5016811666666665,1.5046025000000005,0.4899931388408951
rolling,1785523178.3954732,,310.2607727050781,4,1.5050971666666666,1.4977705000000001,0.5563432238984901
coherent,1785523178.4953313,413,277.26101875305176,4,1.5181204444444445,1.510793777777778,2.109161315737262
rolling,1785523178.4953313,,277.26101875305176,4,1.5181204444444445,1.510793777777778,2.109161315737262
rolling,1785523178.6075923,,312.2401237487793,4,1.519108,1.5117813333333334,2.244806181190504
rolling,1785523178.7098086,,314.3353462219238,4,1.492468,1.5251013333333334,2.620702117965941
rolling,1785523178.8052807,,309.9493980407715,4,1.486625333333333,1.536786666666667,3.9142567019664405
coherent,1785523178.908291,414,300.69875717163086,4,1.4827266666666663,1.5328880000000003,3.714819764732165
rolling,1785523178.908291,,300.69875717163086,4,1.4827266666666663,1.5328880000000003,3.714819764732165
rolling,1785523179.0206485,,310.8398914337158,4,1.4792741111111114,1.5294354444444447,3.60001091647865
rolling,1785523179.119529,,314.24832344055176,4,1.508834111111111,1.5146554444444449,1.7112088446115077
rolling,1785523179.21597,,307.6789379119873,4,1.5095609444444442,1.5132017777777784,1.6300263653192637
coherent,1785523179.316617,415,295.96853256225586,4,1.5105382777777774,1.5141791111111118,1.7666422683238703
