mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785482205.8603194,,200.11472702026367,3,1.5538266421019424,1.549144603847409,5.791766940656645
rolling,1785482205.9905074,,330.3027153015137,4,1.5435250710858885,1.5545796281963185,6.210500071937124
rolling,1785482206.166817,,306.49757385253906,3,1.5524931934688295,1.5635039126181935,7.1812058966449195
rolling,1785482206.2714229,,280.9154987335205,3,1.5529635733182972,1.583186990544506,9.137764759821819
rolling,1785482206.3720074,,205.19042015075684,3,1.5617161818676066,1.5831869905445064,9.285891810908497
rolling,1785482206.5116012,,344.7842597961426,4,1.5578696179423486,1.5798141158694032,8.87896216495085
rolling,1785482206.6814537,,309.4463348388672,3,1.5747849136320096,1.5714740211601974,8.56049153780649
rolling,1785482206.7817168,,270.11561393737793,3,1.57433387138698,1.555973687664346,7.134856480879077
rolling,1785482206.8902094,,208.7557315826416,3,1.552744233700359,1.5355330204983324,4.441524544419418
coherent,1785482207.0144784,39712,333.0247402191162,4,1.5623834060943107,1.545047168094264,5.6453009855804615
rolling,1785482207.0144784,,333.0247402191162,4,1.5623834060943107,1.545047168094264,5.6453009855804615
rolling,1785482207.0900955,,308.3786964416504,4,1.5635724457215203,1.5426110911349642,5.4656569522843235
rolling,1785482207.1988096,,308.60018730163574,4,1.5572588409368144,1.5459420972194533,5.564693973990769
rolling,1785482207.2935352,,279.0567874908447,4,1.561852075584564,1.5499696930481541,6.088398033848137
coherent,1785482207.3901842,39716,300.08864402770996,4,1.56522347359388,1.5532973623701998,6.517149095836286
rolling,1785482207.3901842,,300.08864402770996,4,1.56522347359388,1.5532973623701998,6.517149095836286
rolling,1785482207.5406976,,341.8879508972168,4,1.5628481221202073,1.5581639276745298,6.897015408598907
rolling,1785482207.7071214,,316.9372081756592,3,1.5465958107889195,1.5584861428105645,6.616383396704149
rolling,1785482207.7995887,,258.89110565185547,3,1.5460545926131173,1.5398868601239002,4.75819716906203
rolling,1785482207.9163988,,209.27739143371582,3,1.5559736076804522,1.529227420932508,3.9385460055724346
rolling,1785482208.0414314,,334.31005477905273,4,1.5453525623108282,1.5348309973292356,4.248401805492453
rolling,1785482208.2145762,,298.17748069763184,3,1.547999894480467,1.5377843169220737,4.571357063406654
rolling,1785482208.320616,,279.18457984924316,3,1.5483391526743084,1.5519805999347895,5.984445422566606
rolling,1785482208.4211516,,206.5753936767578,3,1.5425148510923496,1.5519805999347895,5.94855172777035
rolling,1785482208.5621252,,347.5489616394043,4,1.549085667514917,1.557742246104479,6.565335250119995
rolling,1785482208.7330022,,311.85054779052734,3,1.5686433094990186,1.568408786654425,8.053194389282444
rolling,1785482208.8294396,,267.3144340515137,3,1.568622650238472,1.567698818947897,7.985613127367154
rolling,1785482208.9311836,,198.1813907623291,3,1.5700119907779821,1.5690142207142717,8.156694241080169
coherent,1785482209.0674381,39732,334.43593978881836,4,1.5543326534914366,1.5535382521296468,6.232167674194831
