mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785483665.1833298,,196.49863243103027,3,1.5234362891386655,1.5519466905771109,6.220370588705572
rolling,1785483665.2820945,,295.26329040527344,4,1.5320786252883847,1.559524756949987,6.771893038890467
rolling,1785483665.4949675,,409.1660976409912,4,1.5378358701627977,1.5652073275320275,7.281260803756457
rolling,1785483665.6000452,,416.7153835296631,4,1.5402014016257848,1.5603608812390604,6.787854859575655
rolling,1785483665.694687,,412.59241104125977,4,1.5511810722019836,1.554568097125681,6.278052089368173
rolling,1785483665.7949011,,299.93367195129395,4,1.5501570622666954,1.553670189994824,6.174520904458066
rolling,1785483665.9047728,,304.72755432128906,4,1.550638253405306,1.5541451398481405,6.2282616479189
rolling,1785483666.0075781,,312.89124488830566,4,1.5478009249844797,1.559958192864852,6.772902980081278
coherent,1785483666.10434,1308,309.43894386291504,4,1.546435085738767,1.5606787984448727,6.833958286210254
rolling,1785483666.10434,,309.43894386291504,4,1.546435085738767,1.5606787984448727,6.833958286210254
rolling,1785483666.2064805,,301.7077445983887,4,1.5472032695004838,1.561352383391351,6.906800161373209
rolling,1785483666.3188598,,311.281681060791,4,1.5433598604696688,1.5575588252624748,6.507873996371656
rolling,1785483666.4189143,,314.5742416381836,4,1.5490502293284183,1.5459005288108698,5.389721537823677
coherent,1785483666.5208573,1312,314.3768310546875,4,1.54631287691444,1.5473447334858978,5.503421333021398
rolling,1785483666.5208573,,314.3768310546875,4,1.54631287691444,1.5473447334858978,5.503421333021398
rolling,1785483666.6211293,,302.26945877075195,4,1.5458008719467957,1.546895779920469,5.454640626737423
rolling,1785483666.7327893,,313.8749599456787,4,1.5424493641912216,1.5435877428658107,5.10925296045827
rolling,1785483666.8314068,,310.5494976043701,4,1.5400707393806534,1.5484610145072628,5.5986204201658225
coherent,1785483666.933958,1316,312.82877922058105,4,1.548713069082871,1.5439013922623004,5.187087292070296
rolling,1785483666.933958,,312.82877922058105,4,1.548713069082871,1.5439013922623004,5.187087292070296
rolling,1785483667.0288167,,296.02742195129395,4,1.5502476735037987,1.545247016171905,5.342712953188084
rolling,1785483667.2436047,,412.1978282928467,4,1.5671123136479723,1.561892913654204,7.3882497379270635
rolling,1785483667.3417115,,407.75346755981445,4,1.5666378980206168,1.5628648854476455,7.463661683078153
rolling,1785483667.4438934,,415.07673263549805,4,1.5474323006140183,1.5729976010671902,8.06979077661905
rolling,1785483667.5488896,,305.2849769592285,4,1.5448722757757978,1.570752833240047,7.831509762564792
rolling,1785483667.6560078,,314.2962455749512,4,1.5347213612794026,1.560733581087966,6.859463062334184
rolling,1785483667.756156,,312.26253509521484,4,1.5370978038653735,1.5558647803379282,6.353533124293074
