mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785487117.0625796,,33.41197967529297,3,1.5439389398061785,1.5645360389305787,7.206928862062488
coherent,1785487117.0664697,15448,37.30201721191406,4,1.545383817804065,1.5659621761515123,7.3551994920253385
rolling,1785487117.0664697,,37.30201721191406,4,1.545383817804065,1.5659621761515123,7.3551994920253385
rolling,1785487117.0665832,,37.415504455566406,4,1.5405074270239527,1.56114903455374,6.866027914858341
rolling,1785487117.0754676,,46.29993438720703,4,1.5402685279862125,1.5616384853913066,6.9154355766875275
rolling,1785487117.0942433,,34.570932388305664,4,1.5416583237938166,1.5609052405257837,6.840530195764881
coherent,1785487117.101964,15452,35.38084030151367,4,1.5403597987983972,1.5597666237870156,6.72809879169802
rolling,1785487117.101964,,35.38084030151367,4,1.5403597987983972,1.5597666237870156,6.72809879169802
rolling,1785487117.1209283,,45.46070098876953,4,1.5355052654399794,1.5549750561094493,6.278637866292307
rolling,1785487117.1339955,,39.75224494934082,4,1.539822142137471,1.5461307387139265,5.366537776760333
rolling,1785487117.1505375,,48.57349395751953,4,1.5458227355279939,1.5429648748729092,5.062895190125286
coherent,1785487117.1622765,15456,41.34821891784668,4,1.5458227355279939,1.5429648748729092,5.062895190125286
rolling,1785487117.1622765,,41.34821891784668,4,1.5458227355279939,1.5429648748729092,5.062895190125286
rolling,1785487117.1807313,,46.73576354980469,4,1.549218613849608,1.5463167069855839,5.43324777974165
rolling,1785487117.2060225,,55.48501014709473,4,1.5465763217521256,1.5517301740821536,5.9426483182645695
rolling,1785487117.208566,,46.28944396972656,4,1.5415012081736061,1.55440776236745,6.190826228152053
coherent,1785487117.2225084,15460,41.77713394165039,4,1.5296822505269034,1.5440442629671376,5.293809235485218
rolling,1785487117.2225084,,41.77713394165039,4,1.5296822505269034,1.5440442629671376,5.293809235485218
rolling,1785487117.2571573,,51.13482475280762,4,1.5365061375800233,1.55077964085519,5.85150803749732
rolling,1785487117.270594,,62.027931213378906,4,1.5377055427740678,1.5483223271616733,5.596865054650942
rolling,1785487117.2844622,,61.95378303527832,4,1.5339985800393392,1.5502780902867688,5.8295730792164715
coherent,1785487117.2982464,15465,41.08905792236328,4,1.5369096385864365,1.552830663399301,6.052452432538134
