initiator_id,responder_id,count,mean_cm,std_cm,p95_abs_cm
2,3,471,-2.8121019108280256,3.6061829348779373,8.200000000000001
2,4,470,1.6853191489361703,3.917237806174517,7.700000000000001
2,5,566,-7.038339222614842,3.7829140892767104,13.075000000000001
3,2,555,2.617297297297297,3.4888201914719374,8.4
3,4,367,4.179836512261581,3.601423060490176,9.700000000000001
3,5,436,-3.6295871559633026,3.7141321678425054,9.149999999999999
4,2,260,-2.554615384615385,3.762230742575495,8.209999999999997
4,3,509,-3.7929273084479376,3.7386506835597673,9.5
4,5,301,-8.085714285714287,4.172205081020735,14.000000000000002
5,2,321,6.349532710280374,3.7768465806090066,12.7
5,3,330,3.675757575757576,3.8408957844979397,10.0
5,4,425,7.744235294117647,3.9371142747487826,13.8
