received_at,slot_id,x_m,y_m,observation_count
1785529371.5795138,6661,1.4992838380686921,1.5381777435505721,2
1785529371.579547,6662,1.4944831344406122,1.5334976085299807,3
1785529371.5796041,6663,1.501290028369511,1.5200828571075282,4
1785529371.5796041,6664,1.499067258822214,1.5217403278641028,5
1785529371.5796988,6665,1.4991257798158697,1.5217405222858358,6
1785529371.5797567,6667,1.4990060217507084,1.5218602903231717,7
1785529371.5798237,6669,1.5041481336203375,1.5270050314995303,8
1785529371.5798752,6672,1.504132539560429,1.529714662950261,8
1785529371.5798993,6673,1.5023824587837364,1.5297098456584257,8
1785529371.5799458,6674,1.5067626133820604,1.5340957325704045,8
1785529371.5799909,6676,1.5053560108825623,1.5355047510308608,8
1785529371.580045,6675,1.5053660129071313,1.533855558452623,8
1785529371.6123648,6679,1.5060691401737551,1.5331512985532838,8
1785529371.6301522,6680,1.5062266442280121,1.54105611778542,9
1785529371.6420858,6685,1.516685794093305,1.5410724531785545,9
1785529371.642252,6684,1.5167367898763315,1.5362422632124244,9
1785529371.6422937,6686,1.5218272587285893,1.5406183192047191,9
1785529371.6423547,6690,1.5198817625124936,1.540620201427061,10
1785529371.6497543,6696,1.5198302927723861,1.5463519603095075,10
1785529371.6500144,6697,1.5101433213628443,1.5463413033630353,10
1785529371.6500902,6698,1.5118806341461628,1.5480740492226517,10
1785529371.66003,6699,1.5118332173207423,1.5529106787574025,10
1785529371.6606312,6701,1.5180303261324353,1.55298920773572,10
1785529371.6653166,6703,1.5150129568735071,1.5559983596180889,10
1785529371.6978092,6705,1.5138861863928383,1.5548751403855594,10
1785529371.7004387,6707,1.513871889702227,1.5543462634992649,11
1785529371.7009377,6708,1.513940210262822,1.5489780150414765,11
1785529371.700963,6709,1.5128425013112763,1.5489741380132713,11
1785529371.7009828,6710,1.5074279635172534,1.5442492879842946,11
1785529371.70105,6711,1.5074359751121371,1.5432789973533618,11
1785529371.70122,6713,1.5034241905532204,1.5432461729681684,11
1785529371.7033544,6716,1.50344070920133,1.5439543812470902,11
1785529371.7099774,6715,1.5065643669511166,1.5412331824253174,11
1785529371.7283804,6717,1.5066659107755125,1.5413214968787434,11
1785529371.7283804,6718,1.5065269109530972,1.5413218233096373,12
1785529371.7382643,6719,1.5064879988881923,1.539282935887958,12
1785529371.7400136,6721,1.5055287087537597,1.5392795142546176,12
1785529371.743069,6722,1.510949328316185,1.5447032249814456,12
1785529371.7431045,6723,1.5109619988003946,1.5432940521128649,12
1785529371.743145,6725,1.5112309119150624,1.5432949387055648,12
1785529371.7431617,6728,1.5111354909799433,1.5382380173998282,12
1785529371.7474384,6727,1.510431737601452,1.5389419848018953,12
1785529371.7621064,6729,1.5067921165917197,1.5353008148581087,12
1785529371.7935703,6730,1.5074840145795672,1.5344283912113927,11
1785529371.7938867,6731,1.5066148378945055,1.5414334189962071,11
1785529371.7939508,6732,1.5059180839056037,1.5460661635713517,11
1785529371.7939875,6733,1.5048032938998184,1.5462208131940016,11
1785529371.794003,6734,1.5028486665214402,1.5442647893295918,11
1785529371.7940342,6737,1.5062925973566754,1.5438013539259565,11
1785529371.7940512,6738,1.504569510355596,1.5440373488524641,11
1785529371.794532,6739,1.5014184307537928,1.5471905349645605,11
1785529371.801654,6744,1.5020008505662166,1.543275263444096,11
1785529371.805708,6745,1.5009878102650902,1.5434105308280055,11
1785529371.826823,6746,1.492610744534734,1.5350289043339367,11
1785529371.8444324,6748,1.4950621529551011,1.5325753728209184,12
1785529371.8445976,6747,1.4950652006675988,1.5323095471632215,12
1785529371.8446705,6752,1.4952018098478566,1.5387533768382613,12
