variant,initiator_id,responder_id,n,mean_error_cm,std_cm,p95_abs_error_cm,max_abs_error_cm
current,2,3,1093,1.4296431838975299,4.783440180888726,9.739999999999986,15.7
current,2,4,1020,0.7292156862745098,4.980532205753774,9.8,19.2
current,2,5,1011,-8.972502472799208,9.972064722039184,18.9,115.6
current,3,2,1055,11.336303317535545,4.804478814825259,19.429999999999996,28.799999999999997
current,3,4,1042,5.204798464491363,4.6298488622937315,12.7,18.2
current,3,5,1040,6.198749999999999,4.494578958527367,13.604999999999997,21.0
current,4,2,1086,8.186464088397791,4.881819089648324,16.0,24.3
current,4,3,1039,6.9906641000962475,4.768485927041012,14.6,28.499999999999996
current,4,5,1044,-3.5028735632183907,5.319395161959667,12.0,20.8
current,5,2,1088,-0.19338235294117642,5.525444393284232,10.464999999999986,34.9
current,5,3,1053,6.369325735992402,4.386227496973002,13.600000000000001,22.1
current,5,4,1054,-3.6454459203036054,4.819317840196981,11.93499999999999,20.1
31-sample path CFO median,2,3,1093,1.357593778591034,4.541065874666046,9.199999999999998,15.7
31-sample path CFO median,2,4,1020,0.6574509803921551,4.739427920052268,9.399999999999999,16.000000000000004
31-sample path CFO median,2,5,1011,-9.040949554896144,9.794681810590893,18.099999999999998,115.10000000000001
31-sample path CFO median,3,2,1055,11.235924170616116,4.560464380330519,19.12999999999999,28.800000000000004
31-sample path CFO median,3,4,1042,5.147120921305181,4.389706254602287,11.899999999999995,18.2
31-sample path CFO median,3,5,1040,6.109951923076919,4.209207732794989,13.499999999999993,18.999999999999996
31-sample path CFO median,4,2,1086,8.143646408839782,4.674112070754536,15.600000000000003,21.499999999999996
31-sample path CFO median,4,3,1039,6.9230510105871,4.440113221782853,14.00999999999999,28.499999999999996
31-sample path CFO median,4,5,1044,-3.608093869731803,5.088536277229389,11.900000000000002,19.249999999999993
31-sample path CFO median,5,2,1088,-0.21631433823529203,5.313457591210612,9.564999999999982,34.5
31-sample path CFO median,5,3,1053,6.284093067426403,3.9980979387969415,12.840000000000002,19.500000000000004
31-sample path CFO median,5,4,1054,-3.6936907020872884,4.592114152182533,11.669999999999982,19.1
refit anchor validation,2,3,732,4.935577767665745,4.606760208093099,12.161260827775033,17.261260827775036
refit anchor validation,2,4,682,4.413473118303952,5.109240876008339,11.879162267864068,23.27916226786407
refit anchor validation,2,5,677,-5.208328966650885,8.229853053531476,14.706674609191491,115.3333253908085
refit anchor validation,3,2,700,7.943882029367824,4.863937172193109,16.338739172224965,21.538739172224965
refit anchor validation,3,4,692,5.642467914077474,4.563725084014525,12.962901440089029,18.617901440089035
refit anchor validation,3,5,690,6.891629780424766,4.434913250970758,14.427064563033456,21.37206456303346
refit anchor validation,4,2,727,4.239819850430291,4.89130870942168,12.12083773213593,19.520837732135927
refit anchor validation,4,3,690,6.428620299041398,4.699695301270149,13.882098559910963,24.082098559910964
refit anchor validation,4,5,702,-3.612361093579791,5.288825368549551,12.040836877055568,20.845836877055575
refit anchor validation,5,2,727,-4.212692653532015,5.49828304141391,13.443325390808472,34.8333253908085
refit anchor validation,5,3,696,5.8776480806447,4.330769938778932,13.027935436966539,19.32793543696654
refit anchor validation,5,4,702,-3.6292343480156495,4.804425228691425,11.749163122944418,20.054163122944427
refit joint validation,2,3,732,-1.286977373484754,4.606760208093099,8.98370568662453,15.061294313375464
refit joint validation,2,4,682,-0.30872095280604905,5.109240876008339,10.138031803245925,18.55696819675407
refit joint validation,2,5,677,-0.8255705352270662,8.229853053531476,11.016083822232313,119.7160838222323
refit joint validation,3,2,700,1.6294449617299467,4.8639371721931095,10.02430210458709,23.27569789541291
refit joint validation,3,4,692,-0.6490877093933909,4.563725084014525,9.047634581661814,16.27365418338183
refit joint validation,3,5,690,0.8188558375486966,4.434913250970758,9.400709379842608,15.299290620157391
refit joint validation,4,2,727,-0.430475403997872,4.89130870942168,9.950216991083106,14.850542477707767
refit joint validation,4,3,690,0.2808454187397505,4.699695301270149,9.134323679609317,17.934323679609314
refit joint validation,4,5,702,-0.04612571851484085,5.288825368549551,9.920398498009375,17.279601501990623
refit joint validation,5,2,727,0.05228925631894977,5.49828304141391,10.457337392383009,30.568343480957527
refit joint validation,5,3,696,-0.22102045731684383,4.330769938778932,8.229266899004994,13.670733100995003
refit joint validation,5,4,702,-0.23267431120539106,4.804425228691426,9.357603086134167,16.657603086134166
