method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765492.370663,0.188242,3.350076,0.203991
FlexTDOA,1785765492.371297,0.265558,3.427619,0.109389
FlexTDOA,1785765492.413232,0.493562,3.350617,0.144224
FlexTDOA,1785765492.413276,0.374205,3.389280,0.043226
FlexTDOA,1785765492.476025,0.354642,3.376338,0.059685
FlexTDOA,1785765492.600670,0.386204,3.336310,0.096861
FlexTDOA,1785765492.645199,0.423477,3.470792,0.061902
FlexTDOA,1785765492.741375,0.457799,3.477924,0.094581
FlexTDOA,1785765492.784471,0.286396,3.463832,0.093828
FlexTDOA,1785765492.784622,0.391116,3.330586,0.103207
FlexTDOA,1785765492.827361,0.361590,3.353065,0.080533
FlexTDOA,1785765492.924067,0.344012,3.360896,0.077959
FlexTDOA,1785765493.015651,0.535196,3.408419,0.162156
FlexTDOA,1785765493.015696,0.355357,3.281277,0.152474
FlexTDOA,1785765493.218657,0.387520,3.439050,0.014272
FlexTDOA,1785765493.219157,0.348531,3.412617,0.032977
FlexTDOA,1785765493.219215,0.295353,3.294990,0.158832
FlexTDOA,1785765493.219462,0.396956,3.414804,0.028326
FlexTDOA,1785765493.221375,0.410413,3.274763,0.161700
FlexTDOA,1785765493.256828,0.447218,3.412902,0.074986
FlexTDOA,1785765493.350481,0.259220,3.439476,0.115829
FlexTDOA,1785765493.442286,0.300154,3.403465,0.080130
FlexTDOA,1785765493.598345,0.347697,3.242560,0.191871
FlexTDOA,1785765493.641643,0.447993,3.274716,0.173919
FlexTDOA,1785765493.677856,0.312025,3.357009,0.098207
FlexTDOA,1785765493.688018,0.390958,3.314592,0.119006
FlexTDOA,1785765493.715367,0.330486,3.444085,0.045840
FlexTDOA,1785765493.733729,0.364365,3.461743,0.031061
FlexTDOA,1785765493.784312,0.319763,3.371061,0.082512
FlexTDOA,1785765493.786111,0.417652,3.280829,0.157599
FlexTDOA,1785765493.929719,0.462889,3.345373,0.123872
FlexTDOA,1785765493.930284,0.338667,3.355253,0.085298
FlexTDOA,1785765493.936250,0.326381,3.327413,0.115722
FlexTDOA,1785765493.993532,0.445007,3.348784,0.109235
FlexTDOA,1785765494.035542,0.385776,3.260341,0.172508
FlexTDOA,1785765494.091937,0.451046,3.438342,0.076431
FlexTDOA,1785765494.091987,0.422859,3.619231,0.192805
FlexTDOA,1785765494.092030,0.398142,3.269773,0.164388
FlexTDOA,1785765494.141376,0.398855,3.397214,0.042685
FlexTDOA,1785765494.251729,0.299541,3.313253,0.141032
FlexTDOA,1785765494.301630,0.328139,3.275583,0.163720
FlexTDOA,1785765494.433615,0.407243,3.372540,0.068158
FlexTDOA,1785765494.433664,0.383384,3.475294,0.043637
FlexTDOA,1785765494.433711,0.233022,3.311381,0.186500
FlexTDOA,1785765494.506678,0.242956,3.428123,0.131955
FlexTDOA,1785765494.594922,0.289638,3.302626,0.155328
FlexTDOA,1785765494.741079,0.362590,3.317746,0.115408
FlexTDOA,1785765494.833506,0.323105,3.281988,0.159156
FlexTDOA,1785765494.833546,0.319888,3.383504,0.073622
FlexTDOA,1785765494.879018,0.335198,3.261581,0.175457
FlexTDOA,1785765494.884626,0.342888,3.382533,0.059310
FlexTDOA,1785765494.923906,0.328317,3.265316,0.173537
FlexTDOA,1785765495.012508,0.380598,3.287011,0.145605
FlexTDOA,1785765495.012552,0.333805,3.426993,0.041401
FlexTDOA,1785765495.109503,0.414041,3.270778,0.166407
FlexTDOA,1785765495.113002,0.383698,3.393462,0.040032
FlexTDOA,1785765495.151981,0.313618,3.417063,0.063138
FlexTDOA,1785765495.305675,0.342649,3.342525,0.095561
FlexTDOA,1785765495.306348,0.439317,3.454391,0.068093
FlexTDOA,1785765495.312440,0.332052,3.335299,0.106202
FlexTDOA,1785765495.355948,0.445484,3.372608,0.092618
FlexTDOA,1785765495.356004,0.447686,3.399238,0.080082
FlexTDOA,1785765495.474993,0.392522,3.265729,0.167708
FlexTDOA,1785765495.475137,0.333085,3.375319,0.070804
FlexTDOA,1785765495.518884,0.407561,3.311026,0.125806
FlexTDOA,1785765495.565602,0.378955,3.428141,0.005996
FlexTDOA,1785765495.565645,0.304437,3.270606,0.176541
FlexTDOA,1785765495.656343,0.345883,3.452421,0.035145
FlexTDOA,1785765495.708350,0.378503,3.342277,0.090298
FlexTDOA,1785765495.750353,0.351977,3.343351,0.092035
FlexTDOA,1785765495.750610,0.365413,3.240917,0.191816
FlexTDOA,1785765495.750654,0.302100,3.463715,0.079153
FlexTDOA,1785765495.799448,0.185655,3.415940,0.189907
FlexTDOA,1785765495.801013,0.300206,3.328575,0.127948
FlexTDOA,1785765495.801198,0.354058,3.512463,0.082617
FlexTDOA,1785765495.937680,0.364406,3.456822,0.026464
FlexTDOA,1785765495.986644,0.405051,3.234550,0.200244
FlexTDOA,1785765495.986702,0.323348,3.475132,0.066848
FlexTDOA,1785765496.043665,0.411643,3.312801,0.125231
FlexTDOA,1785765496.095236,0.403077,3.168597,0.265411
FlexTDOA,1785765496.138783,0.331127,3.396292,0.056761
FlexTDOA,1785765496.138827,0.266959,3.465835,0.112912
FlexTDOA,1785765496.138996,0.294107,3.426389,0.080963
FlexTDOA,1785765496.188322,0.313913,3.308159,0.138466
FlexTDOA,1785765496.245230,0.371480,3.466982,0.034644
FlexTDOA,1785765496.245296,0.419160,3.348160,0.095278
FlexTDOA,1785765496.346789,0.437708,3.275630,0.169001
FlexTDOA,1785765496.398735,0.334502,3.397446,0.053442
FlexTDOA,1785765496.398780,0.417856,3.472058,0.058440
FlexTDOA,1785765496.465919,0.298616,3.323858,0.132715
FlexTDOA,1785765496.505159,0.404494,3.298507,0.137237
FlexTDOA,1785765496.562415,0.398850,3.406002,0.035760
FlexTDOA,1785765496.610827,0.386574,3.246428,0.186443
FlexTDOA,1785765496.654374,0.293534,3.369811,0.102667
FlexTDOA,1785765496.654465,0.275288,3.353715,0.126955
FlexTDOA,1785765496.799900,0.342184,3.446562,0.035553
FlexTDOA,1785765496.897475,0.295355,3.349201,0.115137
FlexTDOA,1785765497.047128,0.337736,3.255335,0.181010
FlexTDOA,1785765497.144591,0.429120,3.246837,0.193437
FlexTDOA,1785765497.204020,0.258517,3.409407,0.118592
FlexTDOA,1785765497.204175,0.302662,3.382080,0.088045
FlexTDOA,1785765497.204478,0.408438,3.334408,0.103688
FlexTDOA,1785765497.250188,0.343594,3.263068,0.172291
FlexTDOA,1785765497.250234,0.253542,3.369302,0.136774
FlexTDOA,1785765497.250434,0.354310,3.289418,0.144549
FlexTDOA,1785765497.396966,0.314036,3.409622,0.064965
FlexTDOA,1785765497.397275,0.384824,3.400224,0.033786
FlexTDOA,1785765497.517509,0.343978,3.369600,0.070064
FlexTDOA,1785765497.560728,0.360509,3.330694,0.102810
FlexTDOA,1785765497.560932,0.404841,3.309702,0.126412
FlexTDOA,1785765497.561176,0.495891,3.569484,0.182805
FlexTDOA,1785765497.561218,0.440546,3.549268,0.133984
FlexTDOA,1785765497.609034,0.482450,3.393306,0.114527
FlexTDOA,1785765497.609699,0.437926,3.122478,0.316378
FlexTDOA,1785765497.660360,0.375154,3.390797,0.041706
FlexTDOA,1785765497.708651,0.224147,3.296311,0.203115
FlexTDOA,1785765497.801218,0.392111,3.361735,0.072844
FlexTDOA,1785765497.907021,0.403270,3.424223,0.029612
FlexTDOA,1785765497.977039,0.296510,3.266178,0.183845
FlexTDOA,1785765498.194350,0.485898,3.314244,0.162231
FlexTDOA,1785765498.194390,0.302072,3.401867,0.078952
FlexTDOA,1785765498.340845,0.309264,3.391336,0.077425
FlexTDOA,1785765498.343075,0.321029,3.268633,0.172477
FlexTDOA,1785765498.346709,0.354785,3.232296,0.201207
FlexTDOA,1785765498.392480,0.298774,3.271210,0.178328
FlexTDOA,1785765498.447913,0.314213,3.317445,0.130052
FlexTDOA,1785765498.448019,0.361190,3.464888,0.035145
FlexTDOA,1785765498.468150,0.423571,3.430811,0.048762
FlexTDOA,1785765498.513411,0.247473,3.395139,0.132733
FlexTDOA,1785765498.513494,0.410582,3.397042,0.050348
FlexTDOA,1785765498.559813,0.378378,3.334022,0.098543
FlexTDOA,1785765498.666322,0.293069,3.499031,0.105416
FlexTDOA,1785765498.668546,0.287521,3.352090,0.118702
FlexTDOA,1785765498.722769,0.353525,3.459957,0.034757
FlexTDOA,1785765498.727124,0.280184,3.383874,0.106415
FlexTDOA,1785765498.840007,0.207735,3.469168,0.171079
FlexTDOA,1785765498.888737,0.481715,3.385418,0.116788
FlexTDOA,1785765498.888788,0.434013,3.288236,0.155930
FlexTDOA,1785765498.889328,0.378683,3.441373,0.009669
FlexTDOA,1785765499.085855,0.283028,3.178551,0.270037
FlexTDOA,1785765499.123029,0.481204,3.427948,0.106463
FlexTDOA,1785765499.167579,0.357763,3.472753,0.043723
FlexTDOA,1785765499.167708,0.307200,3.343199,0.112026
FlexTDOA,1785765499.167990,0.475362,3.350439,0.129765
FlexTDOA,1785765499.255233,0.419634,3.249366,0.188534
FlexTDOA,1785765499.366190,0.408589,3.266691,0.169211
FlexTDOA,1785765499.371109,0.203273,3.478326,0.177580
FlexTDOA,1785765499.426819,0.183965,3.316682,0.223264
FlexTDOA,1785765499.448842,0.299968,3.355391,0.107478
FlexTDOA,1785765499.491921,0.419548,3.322480,0.118759
FlexTDOA,1785765499.491981,0.396391,3.335252,0.099609
FlexTDOA,1785765499.545725,0.378561,3.355785,0.076807
FlexTDOA,1785765499.545765,0.438765,3.416836,0.065818
FlexTDOA,1785765499.597710,0.503510,3.335115,0.161371
FlexTDOA,1785765499.701289,0.390835,3.249029,0.184168
FlexTDOA,1785765499.753401,0.421615,3.495985,0.078855
FlexTDOA,1785765499.943316,0.369681,3.392356,0.040476
FlexTDOA,1785765499.950846,0.232777,3.506159,0.160022
FlexTDOA,1785765499.990585,0.332464,3.350231,0.092542
FlexTDOA,1785765500.041239,0.396285,3.298025,0.136176
FlexTDOA,1785765500.041315,0.456194,3.405312,0.085779
FlexTDOA,1785765500.137573,0.422445,3.372679,0.076453
FlexTDOA,1785765500.188673,0.294500,3.400841,0.086353
FlexTDOA,1785765500.237319,0.377038,3.360742,0.071793
FlexTDOA,1785765500.237363,0.365258,3.361802,0.071346
FlexTDOA,1785765500.287023,0.318403,3.360533,0.091457
FlexTDOA,1785765500.287391,0.279914,3.354423,0.122910
FlexTDOA,1785765500.343088,0.295205,3.461262,0.084668
FlexTDOA,1785765500.344697,0.353591,3.415594,0.027154
FlexTDOA,1785765500.436431,0.315748,3.366549,0.088552
FlexTDOA,1785765500.504654,0.355398,3.379623,0.056338
FlexTDOA,1785765500.555490,0.306684,3.424760,0.068593
FlexTDOA,1785765500.555533,0.251528,3.300874,0.180364
FlexTDOA,1785765500.704918,0.361150,3.237543,0.195438
FlexTDOA,1785765501.089754,0.324509,3.362316,0.086366
FlexTDOA,1785765501.091226,0.235590,3.333818,0.170671
FlexTDOA,1785765501.378376,0.353648,3.521845,0.091822
FlexTDOA,1785765501.379436,0.426353,3.509387,0.092548
FlexTDOA,1785765501.379473,0.381131,3.285171,0.147465
FlexTDOA,1785765501.501406,0.304591,3.348648,0.109390
FlexTDOA,1785765501.501450,0.233301,3.459720,0.144131
FlexTDOA,1785765501.595476,0.434685,3.381752,0.078467
FlexTDOA,1785765501.645852,0.270800,3.349799,0.132905
FlexTDOA,1785765501.769036,0.257441,3.315793,0.165538
FlexTDOA,1785765501.840515,0.274780,3.342791,0.134387
FlexTDOA,1785765501.895910,0.158909,3.154533,0.351983
FlexTDOA,1785765501.941259,0.404551,3.386151,0.055056
FlexTDOA,1785765502.094000,0.387677,3.058458,0.374264
FlexTDOA,1785765502.094060,0.296451,3.404764,0.083150
FlexTDOA,1785765502.140515,0.393986,3.458069,0.031942
FlexTDOA,1785765502.190617,0.385429,3.451573,0.021814
FlexTDOA,1785765502.233726,0.471337,3.361459,0.119829
FlexTDOA,1785765502.304773,0.309684,3.336840,0.115742
FlexTDOA,1785765502.349589,0.340793,3.456227,0.041497
FlexTDOA,1785765502.349642,0.431140,3.258890,0.182513
FlexTDOA,1785765502.482225,0.349813,3.416996,0.029439
FlexTDOA,1785765502.527867,0.418464,3.271736,0.166579
FlexTDOA,1785765502.645769,0.350899,3.412491,0.031202
FlexTDOA,1785765502.692731,0.252634,3.276253,0.198362
FlexTDOA,1785765502.724003,0.430362,3.348937,0.100329
FlexTDOA,1785765502.740855,0.176550,3.331840,0.222376
FlexTDOA,1785765502.740896,0.238114,3.124004,0.337438
FlexTDOA,1785765502.801260,0.319006,3.402080,0.063582
FlexTDOA,1785765502.851047,0.441873,3.257757,0.187161
FlexTDOA,1785765502.991121,0.439531,3.324965,0.125496
FlexTDOA,1785765502.991161,0.290568,3.489255,0.101600
FlexTDOA,1785765503.085973,0.317721,3.454028,0.061040
FlexTDOA,1785765503.130570,0.340557,3.351211,0.088223
FlexTDOA,1785765503.180495,0.397094,3.249876,0.183976
FlexTDOA,1785765503.229422,0.282044,3.300072,0.161705
FlexTDOA,1785765503.278619,0.390580,3.119700,0.313198
FlexTDOA,1785765503.323908,0.331183,3.351873,0.091689
FlexTDOA,1785765503.471027,0.367693,3.340363,0.092415
FlexTDOA,1785765503.471105,0.404512,3.431747,0.029683
FlexTDOA,1785765503.472019,0.336052,3.340443,0.099896
FlexTDOA,1785765503.628664,0.399405,3.458346,0.035657
FlexTDOA,1785765503.659517,0.251428,3.339576,0.154484
FlexTDOA,1785765503.676923,0.350195,3.356084,0.080293
FlexTDOA,1785765503.812119,0.375018,3.391360,0.041142
FlexTDOA,1785765503.857160,0.287599,3.349905,0.120137
FlexTDOA,1785765504.002254,0.218663,3.256073,0.235622
FlexTDOA,1785765504.002307,0.450705,3.332424,0.125584
FlexTDOA,1785765504.055285,0.385325,3.425634,0.012535
FlexTDOA,1785765504.055554,0.394623,3.446964,0.024507
FlexTDOA,1785765504.100353,0.321657,3.387726,0.069521
FlexTDOA,1785765504.245653,0.346050,3.419973,0.031397
