block,slot_id,initiator_id,received_at,x_m,y_m,truth_x_m,truth_y_m,error_m
flex_1,18908,2,1785085449.118105,1.5494576906890578,1.487042726978201,1.5,1.5,0.05112684316927808
flex_1,18909,3,1785085449.1181533,1.5657962178204814,1.4702805727765054,1.5,1.5,0.07219686027780452
flex_1,18914,4,1785085449.11851,1.5844532693236724,1.5025745759770748,1.5,1.5,0.08449250345988377
flex_1,18916,2,1785085449.1185849,1.5200411748017097,1.5319224564475769,1.5,1.5,0.03769206697808077
flex_1,18920,2,1785085449.1442358,1.482262518643575,1.4602835314519815,1.5,1.5,0.043497311627217455
flex_1,18921,3,1785085449.1443229,1.6383161932598416,1.5300496246205306,1.5,1.5,0.1415427471039355
flex_1,18923,5,1785085449.144431,1.5202438483181402,1.504051023936998,1.5,1.5,0.020645197738602503
flex_1,18924,2,1785085449.144491,1.5307867974338147,1.550526856526837,1.5,1.5,0.05916747524370396
flex_1,18925,3,1785085449.144537,1.5415892675307228,1.4718580136060033,1.5,1.5,0.05021591950708387
flex_1,18926,4,1785085449.1447945,1.5656554917003034,1.5416607590580271,1.5,1.5,0.07775771624539649
flex_1,18928,2,1785085449.1514435,1.4506817407903154,1.5317393802799129,1.5,1.5,0.05864877621934288
flex_1,18930,4,1785085449.1832528,1.4970348395218673,1.5098694216306647,1.5,1.5,0.010305224887643785
flex_1,18934,4,1785085449.1834476,1.5968614016892744,1.5270876274726777,1.5,1.5,0.10057768489734453
flex_1,18935,5,1785085449.1834898,1.5912604024762704,1.4566597582784737,1.5,1.5,0.10102889493907767
flex_1,18938,4,1785085449.2231798,1.565390860602414,1.486534293582728,1.5,1.5,0.06676293806926496
flex_1,18939,5,1785085449.2233207,1.5104890332116339,1.4651942361280483,1.5,1.5,0.03635190526540272
flex_1,18942,4,1785085449.2235928,1.5663041198229282,1.5911470397776215,1.5,1.5,0.11271210744953948
flex_1,18944,2,1785085449.224258,1.5610629590333072,1.4706303904137343,1.5,1.5,0.06775882918965628
flex_1,18946,4,1785085449.2244568,1.4069155716838253,1.4786503946354768,1.5,1.5,0.09550139498546575
flex_1,18950,4,1785085449.2573583,1.6003987445396193,1.5149170643046153,1.5,1.5,0.10150087050168466
flex_1,18951,5,1785085449.2573583,1.569488511322738,1.453196227478637,1.5,1.5,0.08378094251130011
flex_1,18954,4,1785085449.2575984,1.5467709768687854,1.4828516567680243,1.5,1.5,0.04981555934506913
flex_1,18956,2,1785085449.2576907,1.5563828478206077,1.5322965798256303,1.5,1.5,0.06497764690103136
flex_1,18958,4,1785085449.260209,1.5046356493543103,1.5376772271845658,1.5,1.5,0.0379613315526932
flex_1,18960,2,1785085449.260284,1.5197303947243417,1.4734636136872223,1.5,1.5,0.03306763182508393
flex_1,18961,3,1785085449.2603238,1.6155686208135196,1.4925770464252226,1.5,1.5,0.11580676299988864
flex_1,18964,2,1785085449.2604606,1.4342446959784192,1.4176708536570808,1.5,1.5,0.10536530901831176
flex_1,18967,5,1785085449.285283,1.53625818720268,1.4692791503734903,1.5,1.5,0.04752290753940884
flex_1,18971,5,1785085449.2868013,1.5903133237588534,1.3997124962278982,1.5,1.5,0.134959548981207
flex_1,18975,5,1785085449.294631,1.4716933069475626,1.6495950243238762,1.5,1.5,0.1522495982721334
flex_1,18976,2,1785085449.294992,1.5167197348812276,1.4796098760369634,1.5,1.5,0.026368668713580116
flex_1,18982,4,1785085449.3209927,1.5654830324103912,1.5764794444254475,1.5,1.5,0.1006833300665282
flex_1,18983,5,1785085449.3210218,1.5221256462758042,1.511426661443329,1.5,1.5,0.02490206446988816
flex_1,18984,2,1785085449.3210554,1.5358692746601588,1.5166541606388684,1.5,1.5,0.03954700913130019
flex_1,18988,2,1785085449.350507,1.3788781383293829,1.610013143968834,1.5,1.5,0.16362578409426654
flex_1,18989,3,1785085449.3505702,1.5624203535707972,1.4514574770137405,1.5,1.5,0.07907387101802257
flex_1,18990,4,1785085449.3506012,1.586722752378599,1.837861226477652,1.5,1.5,0.34881376712667606
flex_1,18991,5,1785085449.3506327,1.5437491743812524,1.564105004513978,1.5,1.5,0.07761083598814253
flex_1,18992,2,1785085449.3506606,1.5889891663390951,1.4229801308660184,1.5,1.5,0.11769083212868707
flex_1,18993,3,1785085449.3507009,1.606926375052474,1.4382350915017255,1.5,1.5,0.12348341428573543
flex_1,18994,4,1785085449.3507335,1.5480225032149966,1.3893817276488847,1.5,1.5,0.12059254949199756
flex_1,19003,5,1785085449.3851235,1.611751016429227,1.4629992131763006,1.5,1.5,0.11771723704937276
flex_1,19004,2,1785085449.385165,1.5337990805631723,1.4438063078749748,1.5,1.5,0.06557521545186056
flex_1,19006,4,1785085449.3858957,1.620479454100774,1.6139603478284146,1.5,1.5,0.16583805274301122
flex_1,19010,4,1785085449.4126554,1.4380820848298217,1.5439381496785307,1.5,1.5,0.07592357483808547
flex_1,19014,4,1785085449.4128962,1.609954517110829,1.5535307579337176,1.5,1.5,0.12229283657693875
flex_1,19015,5,1785085449.4129298,1.4882689453850666,1.5405073530420264,1.5,1.5,0.04217183056081288
flex_1,19019,5,1785085449.4484336,1.5675543898201414,1.475268966052543,1.5,1.5,0.07193899932638685
flex_1,19020,2,1785085449.448475,1.5578799199503859,1.4415977243997238,1.5,1.5,0.08222475861170829
flex_1,19022,4,1785085449.4485574,1.5257364648204512,1.5019494050644524,1.5,1.5,0.02581018794119167
flex_1,19023,5,1785085449.448592,1.5892408223877137,1.4099539204664948,1.5,1.5,0.12677626284044582
flex_1,19024,2,1785085449.4486244,1.5591463980889797,1.3981247317828616,1.5,1.5,0.11780011324788257
flex_1,19026,4,1785085449.450782,1.536856139047949,1.535163746399748,1.5,1.5,0.05093980807175799
flex_1,19031,5,1785085449.490277,1.4967499715728423,1.5316744150169592,1.5,1.5,0.031840716880181974
flex_1,19039,5,1785085449.5013988,1.5841148276971984,1.604307929054608,1.5,1.5,0.13399794141027135
flex_1,19040,2,1785085449.5014381,1.5449674651263148,1.4861065621420437,1.5,1.5,0.04706485456685517
flex_1,19042,4,1785085449.5015337,1.5675622266966067,1.563838218587021,1.5,1.5,0.0929514530739996
flex_1,19043,5,1785085449.5015717,1.508903001291222,1.4431543026082365,1.5,1.5,0.05753865434599113
flex_1,19044,2,1785085449.5016093,1.5371258448608656,1.4853267665167866,1.5,1.5,0.03992032236199943
flex_1,19076,2,1785085449.6028647,1.4917615040265801,1.5202871314629682,1.5,1.5,0.021896130226590513
flex_1,19079,5,1785085449.6033604,1.5246170477189858,1.5307631433159221,1.5,1.5,0.03940012722155584
flex_1,19083,5,1785085449.6308768,1.5480018485517453,1.464849016580154,1.5,1.5,0.059495958684325605
flex_1,19086,4,1785085449.6310198,1.5474570442594673,1.526793589130499,1.5,1.5,0.05449832537187749
flex_1,19087,5,1785085449.631052,1.5850445707232612,1.530173899946292,1.5,1.5,0.09023881231195707
flex_1,19088,2,1785085449.631933,1.5384105397112726,1.4361976015211864,1.5,1.5,0.07447224726406859
flex_1,19091,5,1785085449.6586883,1.5106522619966343,1.561734453722856,1.5,1.5,0.06264673544650493
flex_1,19092,2,1785085449.658747,1.4900148655916392,1.511866762030561,1.5,1.5,0.015508802347150977
flex_1,19093,3,1785085449.6610866,1.5948684323722568,1.4888341608120403,1.5,1.5,0.09552327164382952
flex_1,19095,5,1785085449.6611795,1.5676981405039188,1.4589950645920828,1.5,1.5,0.07914823406429093
flex_1,19096,2,1785085449.6612163,1.5274712799072951,1.5857782883170535,1.5,1.5,0.09006989489473445
flex_1,19103,5,1785085449.6894097,1.5014735691419367,1.5618721444936248,1.5,1.5,0.06188968953110082
flex_1,19107,5,1785085449.6895747,1.6562650491886433,1.4948533008726153,1.5,1.5,0.15634978129129865
flex_1,19108,2,1785085449.6932173,1.5563590393028666,1.4975108398696093,1.5,1.5,0.056413980796401746
flex_1,19111,5,1785085449.7162793,1.5807231059233038,1.4496520609923782,1.5,1.5,0.09513745210073753
flex_1,19112,2,1785085449.7163827,1.5025320106502524,1.5079744477691739,1.5,1.5,0.008366773282232174
flex_1,19114,4,1785085449.7165058,1.5419466466032707,1.5459625965994164,1.5,1.5,0.06222605119578428
flex_1,19115,5,1785085449.7165415,1.4323840713346228,1.5672066980722912,1.5,1.5,0.09533443278827168
flex_1,19116,2,1785085449.716579,1.558775333944181,1.549729748396813,1.5,1.5,0.07699082903736217
